location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,291.8264127,306.0004687,300.2214499,310.7278336,312.0095596,309.0609068,292.2750408,304.3331891,326.8760495,319.0991579,319.0968396,342.3127303,350.8310942,346.8866549,378.9911921,388.6482492,400.8629122,386.0973466,400.5332009,430.1724384,440.4489767,434.9548895,453.8053316,474.9190737,480.5499189,483.1422749,478.5820336,481.8781634,499.8373217,501.7100282,506.227405,529.2393303,540.4152667,545.7155692,544.8789432,568.9945344,552.2302644,551.9712379,562.477924,566.1385908,574.4632204,565.6589169,573.2769,564.1539226,496.2100191,525.0071623,495.3678241,437.9241304,454.5659052,453.5326974,391.824933,358.4308579,-0.087726409,-0.037539347,0.096042603
Canada,15.476,15.172,15.032,16.331,15.767,16.928,16.09,15.183,15.637,15.888,15.457,18.3,23.384,19.228,18.207,22.174668,22.64120569,23.92473966,25.03140824,27.88232063,26.80056368,24.83947167,26.69685679,28.66884016,28.60862711,27.13697812,26.26793733,26.75917168,23.75835961,25.19081399,26.33135091,26.88141301,28.10375466,30.05457629,28.90118945,30.58775198,31.79643164,31.99233305,31.92569504,29.99691889,30.05116079,29.16389605,30.28644788,29.39903984,23.48538263,24.76557275,21.76230056,21.04994268,20.7654789,19.73131118,19.64556275,18.67692269,-0.051903319,-0.041614306,0.005004536
Mexico,0.689786949,0.735764785,0.90278972,0.946379096,0.959324544,1.075881341,1.35069743,1.492834623,1.60038693,1.76805675,2.030811121,1.558469475,2.241616509,2.337178752,2.296049489,2.324854304,2.054934556,2.46097258,2.801734021,2.809711474,3.045715105,3.358340499,3.247874272,3.073994459,3.402694182,3.374128212,3.263542562,3.300300946,3.722484953,4.498566925,5.009338875,5.743742238,5.749283462,5.876851056,5.980008598,6.550898061,7.194633109,12.0469304,8.883780978,9.090258097,11.47287394,12.31283627,11.31416597,10.1070765,10.29634126,12.73592044,14.73147373,12.83456666,12.74519433,12.72045144,12.69565375,9.814115214,-0.229082575,0.010178881,0.002629721
Total North America,307.9921997,321.9082335,316.1562396,328.0052127,328.7358841,327.0647881,309.7157382,321.0090238,344.1134365,336.7552147,336.5846507,362.1711997,376.4567107,368.4518337,399.4942416,413.1477716,425.5590524,412.4830588,428.3663432,460.8644705,470.2952555,463.1527017,483.7500627,506.6619083,512.5612402,513.6533813,508.1135135,511.937636,527.3181663,531.3994091,537.5680948,561.8644856,574.2683048,581.6469965,579.7601413,606.1331844,591.2213291,596.0105014,603.2874,605.2257678,615.9872551,607.1356492,614.8775138,603.660039,529.991743,562.5086555,531.8615984,471.8086397,488.0765785,485.98446,424.1661495,386.9218958,-0.090298147,-0.036622657,0.103676863
Argentina,0.796139693,0.833481579,0.817107675,0.656726096,0.875198465,0.979746579,0.807175724,0.720065351,0.760040395,0.974360197,1.052018004,1.073873596,0.850586711,1.215171974,0.960157697,0.934129496,0.848411842,0.842520132,0.766964474,0.51648114,0.601079737,0.894894912,0.993464671,1.031213333,1.032589825,0.939285965,0.734003509,0.650000877,0.76875,1.083333333,0.971279737,0.912723246,0.846019386,0.730543772,0.735789474,0.614249386,0.664551554,0.560939972,0.680694915,1.0742241,1.1274,1.05511264,1.220322083,1.3919155,0.954877157,1.2693274,1.54790852,1.30956113,1.25256428,1.489,1.359770359,1.057205527,-0.224635998,0.018916873,0.000283281
Brazil,1.735,1.88,1.943,1.912,2.134,2.437213724,2.453348268,2.582623537,2.538139338,2.69237162,3.20079517,3.415855111,4.332419339,4.981514597,5.410890778,5.9023871,5.774536261,6.104196344,6.864730009,8.477326712,10.02132787,10.14552916,10.62379978,10.85707943,10.77312802,9.5976604,11.00288409,10.67755927,11.00053902,11.2924892,11.84263305,12.22004603,12.29331571,12.04129156,12.19327574,12.99926821,12.79346557,12.3826648,12.8476981,13.47006766,12.99093745,12.80945604,13.57452464,13.76890417,11.10981602,14.46239387,15.44881345,15.28773942,16.47837442,17.52075406,17.67513014,16.518795,-0.067975084,0.031269593,0.00442626
Chile,1.165,1.2,1.2,1.2,1.2,1.283,1.239,1.024,1.112,1.054,0.842,0.85,0.915,0.892,0.987,1.09,1.088,0.725,0.869,1.172,1.173,1.114,1.148,1.6,2.162,2.6046,2.1398,1.8502,1.8667,2.2017,2.3736,3.289146,4.28183,4.0287,4.1574,3.2127,2.5206,2.5406,2.4291,2.813706539,2.757532971,3.442689075,4.086119577,4.369520265,3.994632479,4.4909,5.7598,6.7153,7.5484,7.6146,7.3134,8.233733581,0.122766024,0.102452436,0.002206253
Colombia,2.014,2.014,2.21,2.013,2.149,2.243,1.744307,1.812337,1.845686,2.231933,2.268664905,2.21889148,2.274688975,2.29912384,2.319174,2.43225385,2.47807495,2.58024585,2.84389755,2.9607773,3.0537169,3.0153422,3.79142595,3.0244747,3.5041604,1.59776435,2.00935995,3.36087635,3.52382875,4.0334086,3.60936446,2.798023475,3.313895,3.15159,2.516943191,2.703165538,2.661945,2.1892871,2.426898684,2.1237073,1.33812055,3.716070462,3.231236315,4.912747507,4.000443878,4.693201013,3.733491725,4.607192175,4.979538427,5.241730057,5.314726999,4.584670263,-0.139721788,0.147885506,0.001228476
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0.036088263,0.045520423,0.051261737,0.050851643,0.085709625,0.086939906,0.12193083,0.131914589,0.150878953,0.160886596,0.167884781,0.129908283,0.148896532,0.126922709,0.134900162,0.141922232,0.143904653,0.162892901,0.137909621,0.109940766,0.119924525,0.162892901,0.183887456,0.180877998,0.200869399,0.144883921,0.280811121,0.274816089,0.288812458,0.355760963,0.373746059,0.391731155,0.40773383,0.447000096,0.40539314,0.629741091,0.571391039,0.782459157,0.839686634,0.907948791,0.921467469,0.784011656,1.035158116,0.923019968,0.829225184,0.813222509,0.817856119,0.872910098,0.88036209,0.869399064,0.810332473,0.812552562,0,-0.012770047,0.000217726
Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0.02,0.021,0.022,0.023,0.024,0.024,0.142684,0.150321,0.272413,0.204018,0.251905,0.165228,0.256043,0.07888,0.164434,0.156619,0.154731,0.088313,0.123578,0.135198,0.179011,0.199058,0.26149,0.190079,0.521917,0.462786,0,0.00365,0.02847,0.055481,0.00511,0.01606,0.03431,0.03577,0.0365,0.132132,0.048911,0.01825,0.043071,0,0.03723,0.247473,0.138701,0.140892,0.237253,0.199292,0.205132,0.210972,0.210242,0.197102,0.201,0.067693904,-0.664134586,0.183669077,1.81E-05
Other S. & Cent. America,0.085912475,0.081935154,0.085655314,0.078085554,0.077505713,0.069295953,0.061046192,0.066653991,0.061754311,0.06073455,0.06079463,0.05135739,0.076582829,0.058015668,0.051664947,0.073495987,0.079959987,0.101385987,0.207493071,0.166490864,0.345708863,0.281729384,0.428840701,0.396003973,0.383579966,0.354039954,0.378004384,0.346674081,0.389940384,0.310637474,0.311658932,0.316894643,0.283111491,0.276746694,0.407292456,0.579943487,0.66223286,1.070442303,1.901256629,1.975772521,1.99288306,2.269919373,2.391401966,2.449012938,2.075316757,2.214778835,2.680744422,2.678047271,2.854293781,3.193959739,3.202746391,3.3840539,0.053723099,0.048586045,0.000906767
Total S. & Cent. America,5.852140431,6.075937156,6.329024727,5.933663293,6.545413803,7.123196162,6.569492014,6.487915468,6.740911996,7.378303964,7.84406249,7.90511386,8.854217385,9.651628788,10.02822159,10.73080766,10.56761869,10.60455421,11.81357272,13.53821478,15.49376889,15.81344656,17.43090856,17.27972843,18.57824461,15.70102059,16.54486305,17.16377666,17.86704062,19.33281057,19.48739224,19.94462454,21.46021541,20.71164212,20.452594,20.87119971,19.92309702,19.54464333,21.16840596,22.36542691,21.1655715,24.32473225,25.6774637,27.95601235,23.20156447,28.14311563,30.19374624,31.68172209,34.203775,36.12654492,35.87710636,34.65870474,-0.036599873,0.054189633,0.009286902
