location,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,463.0868823,469.689173,434.6087918,496.9158865,486.9859819,491.6302783,507.5472861,522.5797164,537.8991171,565.8939319,544.157795,545.0358166,510.26867,557.1825568,555.1265909,571.615533,584.9121962,603.1610427,584.2794172,570.0938423,590.2838396,570.0676447,553.6312788,572.3708234,580.1880174,595.0993927,587.7185225,596.7238524,540.7500349,551.2396854,556.1075173,517.7935044,500.8687097,507.6954133,449.3381371,364.8205736,-0.190311775,-0.02523382,0.099776112
Canada,23.15711382,24.56002258,25.46123722,33.35244479,35.51953707,33.01132152,33.29359049,38.55438506,41.04327934,39.96133258,41.74968631,37.10542751,39.44093481,41.44618689,43.01161194,43.76169872,45.33159391,42.87434308,41.21032226,39.08206816,39.80235497,34.26122462,31.81172012,33.91005078,35.32136862,34.8009738,35.69623444,35.59166961,33.14502969,35.42639022,35.46434031,35.63953377,36.43887934,35.56823827,31.89908761,31.40822148,-0.01807829,-0.010139318,0.008589949
Mexico,1.699269132,2.043254992,2.594726283,2.827003917,2.900544569,3.141468425,3.486791822,3.113045763,3.344391898,3.385807777,3.074496035,2.855689309,3.091024171,4.179803191,4.125035827,4.566518582,4.53112162,4.762849909,4.868778064,5.414684246,4.162063867,3.390944015,4.41345579,5.876782149,6.071703998,6.76866853,7.303805603,6.922138531,6.08265076,7.320333596,9.369501696,7.423459038,7.162443298,7.254462358,6.871275557,4.489950667,-0.348347634,0.012447885,0.001227973
Total North America,487.9432653,496.2924506,462.6647553,533.0953352,525.4060635,527.7830682,544.3276684,564.2471472,582.2867884,609.2410723,588.9819773,584.9969334,552.800629,602.8085468,602.2632386,619.9437503,634.7749117,650.7982357,630.3585175,614.5905947,634.2482584,607.7198133,589.8564548,612.1576563,621.58109,636.669035,630.7185626,639.2376605,579.9777153,593.9864092,600.9413593,560.8564972,544.4700323,550.518114,488.1085002,400.7187457,-0.181280628,-0.023883043,0.10959404
Brazil,2.9014668,3.1981983,3.4122077,3.8296808,3.9083278,3.706083,3.3761719,3.6778385,3.3193016,2.3084686,2.4997091,2.1791538,2.07093,2.3145891,2.3651016,2.1866444,2.48938,2.40006,2.471241,2.9516,2.458423,2.277524,2.0435566,2.4081234,2.774281997,2.59545967,2.656819717,2.93327857,2.288714712,2.337579521,2.376479174,2.856444189,3.71017234,3.426076628,3.466229115,3.475725633,0,0.022517303,0.000950589
Colombia,2.753376,3.050904,3.486708,4.57953,6.19206,7.40853,10.06986,10.41969,13.04238,14.12292,13.82139,15.111,14.98197,15.63885,17.7606,20.39916,22.59198,23.15709,22.60026,26.38698,30.29892948,27.24428077,34.51938443,37.18244124,41.17581693,45.67238553,48.23251967,50.71642862,50.23711428,51.30159195,59.20422809,61.54731,58.99228278,61.1188062,59.02778454,62.45327261,0.055140994,0.036672138,0.017080573
Venezuela,0.0365,0.0365,0.0292,0.0365,0.0292,0.0438,0.1752,0.7811,1.5403,1.5695,1.752,1.8104,2.8908,3.2412,3.1755,3.0514,3.8617,4.7158,4.8107,5.7524,5.6137,5.913,5.1319,5.91833192,5.25235,5.2294207,5.00439893,3.68920392,2.39316411,1.9204986,1.90634828,1.39488473,0.89739557,0.5844672,0.58523881,0.1971,-0.664134562,-0.197032541,5.39E-05
Other S. & Cent. America,1.11546001,1.034471817,1.034158433,1.18852416,1.211309423,1.314612886,1.492940774,2.085959036,2.044914032,2.061627093,2.0516015,1.597418712,1.355776916,1.365689802,1.21313057,1.165002805,1.108002922,0.345786775,0.558814516,0.505781276,0.506423111,0.375433538,0.297683312,0.174460333,0.407550266,0.390073217,0.266663865,0.404226513,0.385875027,0.355815853,0.404487709,0.476845313,1.695953516,2.386701831,1.851030056,1.515954868,-0.183258578,0.163384378,0.000414604
Total S. & Cent. America,6.80680281,7.320074117,7.962274133,9.63423496,11.34089722,12.47302589,15.11417267,16.96458754,19.94689563,20.06251569,20.1247006,20.69797251,21.29947692,22.5603289,24.51433217,26.8022072,30.05106292,30.61873678,30.44101552,35.59676128,38.87747559,35.81023831,41.99252434,45.68335689,49.60999919,53.88733912,56.16040218,57.74313762,55.30486813,55.91548592,63.89154326,66.27548423,65.29580421,67.51605186,64.93028252,67.64205311,0.038917992,0.027277574,0.018499672
Bulgaria,5.01782,5.51256,5.5428,5.52932,5.28068,6.00558,6.27016,5.8216,5.84258,5.090899999,5.069189477,5.801243427,5.706800055,5.670680896,5.921603716,6.027382623,5.011599996,5.0665,4.276000001,4.294800003,4.448565422,4.377328313,4.627479135,4.52761347,4.164915155,4.276353809,4.721973879,4.811673745,4.564667735,4.919802941,6.205453992,5.608403226,4.781834406,5.104529056,5.832449898,5.11589595,-0.125252992,0.034247514,0.001399165
