location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,41.86223562,45.07507671,47.63934247,50.90727322,54.94860274,57.91612603,59.70809315,60.38647814,60.4092137,58.14556986,53.52765205,54.49862295,53.48104384,53.77391233,55.45413973,54.30954372,53.16125479,49.3179589,46.12304658,49.04515574,47.34504932,44.44190685,47.15290137,49.2611612,52.3808137,52.53029041,53.59470411,55.26838251,56.95847123,58.2112274,60.84079178,61.77344262,62.29408767,60.94782466,61.38397534,63.75169672,60.92773699,63.08772877,61.03151233,61.20914208,60.31351781,59.44950959,63.29806301,63.59838251,62.76733699,65.99122466,67.06143836,69.77728689,71.65772877,72.85856164,74.81173973,75.1290082,0.004240891,0.021775558,0.219774416
Canada,2.20101187,2.409674762,2.558888617,2.841683192,3.184447281,3.5180284,3.754964522,4.212029323,4.491573555,4.540272313,4.688626146,4.717305596,4.961468196,5.008876921,5.085311396,5.039576013,4.903416696,5.192706671,4.951792946,5.481491735,5.765539522,5.548707494,5.615902105,6.163846274,6.68157284,6.47662202,6.521379726,6.894001043,7.334719942,7.59320392,7.97829822,8.353702705,8.434118598,8.071983666,8.452472547,8.944055795,8.532931926,8.724076165,9.448704013,9.173263392,9.462617023,9.379661429,9.307619518,9.27000241,9.185101827,9.19585103,9.757499292,9.669501942,10.05220741,10.08487105,9.913503023,9.634615466,-0.02813209,0.004665729,0.02818408
Mexico,0.809018229,0.851625974,0.732155334,0.782238414,0.970205636,0.989971481,1.025546406,1.094242676,1.215008883,1.278594408,1.299597865,1.273451926,1.347017405,1.693962155,2.057750754,2.221100278,2.41152548,2.630980789,2.698759303,2.725613776,2.783530589,2.473922179,2.512544916,2.52944794,2.464408999,2.663501782,2.824594293,2.814735243,2.876857318,3.05258795,3.041855132,3.199909111,3.447673753,3.790995536,3.742389737,3.937575965,4.092065166,4.498103565,4.963126971,5.236096458,5.892099861,6.439578005,6.134770353,6.39592605,6.989604477,7.010746353,7.412271572,7.709937321,8.05720967,8.400205576,8.42924154,8.639820486,0.024981957,0.036458315,0.025274013
Total North America,44.87226572,48.33637745,50.93038642,54.53119483,59.10325566,62.42412591,64.48860408,65.69275014,66.11579614,63.96443658,59.51587607,60.48938047,59.78952944,60.4767514,62.59720188,61.57022001,60.47619697,57.14164636,53.77359882,57.25226125,55.89411943,52.46453652,55.28134839,57.95445542,61.52679554,61.67041421,62.94067813,64.9771188,67.17004849,68.85701927,71.86094513,73.32705444,74.17588002,72.81080386,73.57883763,76.63332848,73.55273408,76.3099085,75.44334331,75.61850193,75.66823469,75.26874902,78.74045288,79.26431097,78.94204329,82.19782204,84.23120922,87.15672615,89.76714584,91.34363827,93.15448429,93.40344415,0.002672548,0.021007698,0.273232509
Argentina,0.4102306,0.44430898,0.464627005,0.515889969,0.515368316,0.58245005,0.60368402,0.689811447,0.770442736,0.759350446,0.844222641,0.890952871,0.920807971,0.896349471,0.975980559,1.085959504,1.127337168,1.216308889,1.35081446,1.440869409,1.484767728,1.705804716,1.726235327,2.006666806,2.146043842,2.024855952,2.155185738,2.21460674,2.178535008,2.270850592,2.513099274,2.765894503,2.825855636,2.933993909,3.198376331,3.34817195,3.141576874,3.090781118,3.407979017,3.657865722,3.908800997,4.044254497,4.249369796,4.285038689,4.077625665,4.191513561,4.359257735,4.509091623,4.520923344,4.56375709,4.662142821,4.786406511,0.026653772,0.017780677,0.014001645
Brazil,0.00482653,0.005644214,0.006380416,0.006724614,0.007106611,0.007624097,0.012007953,0.016442063,0.01886964,0.036309762,0.039454702,0.045334474,0.056704221,0.074620849,0.08176844,0.095325949,0.085771091,0.122557359,0.165728808,0.192362633,0.241969778,0.281900986,0.314684603,0.315915708,0.324786532,0.295700792,0.307409118,0.347288589,0.407940557,0.445515919,0.491703937,0.540259484,0.588719046,0.616983289,0.732132028,0.909800357,1.154990173,1.364631593,1.527361747,1.811488799,1.892092948,1.990111016,2.049509882,2.405715915,1.942997646,2.592414648,2.583638676,3.054060026,3.60825539,3.821905596,4.036342187,3.531488733,-0.125076971,0.078709618,0.010330642
Chile,0.06114758,0.06385665,0.056600212,0.048244074,0.063663145,0.063566392,0.064824175,0.058857771,0.046344447,0.048279497,0.054761915,0.059629676,0.06153459,0.057470985,0.068017007,0.069471467,0.068597522,0.071016335,0.07662798,0.078155401,0.078272772,0.07159685,0.069468295,0.097356542,0.152288435,0.163511725,0.161857257,0.180548624,0.187465553,0.180811072,0.173264377,0.175608431,0.239588216,0.330864524,0.451969628,0.581920026,0.661390414,0.667011734,0.721599495,0.7811158,0.757694177,0.701172759,0.413307329,0.229410223,0.232515608,0.477502613,0.485552421,0.439783334,0.44196542,0.365956656,0.393744844,0.437367084,0.11078809,-0.063361311,0.001279427
Colombia,0.089979825,0.093849925,0.116103,0.118037169,0.129218339,0.125563244,0.120208072,0.146435308,0.152149245,0.158303155,0.149212099,0.158596576,0.177982726,0.220466197,0.237758615,0.261537548,0.283172299,0.305326838,0.337942792,0.334677998,0.336764237,0.342666259,0.347893501,0.348251974,0.333314072,0.345889956,0.356640234,0.349980409,0.364351686,0.360467074,0.383354166,0.415771554,0.524480448,0.609024496,0.526042612,0.574999931,0.596999928,0.602999928,0.577999931,0.614999926,0.647999922,0.679999919,0.719902354,0.729311508,0.842306628,0.87907942,0.855942624,0.94893189,0.968472972,1.052294299,1.036364618,1.019460447,-0.016311027,0.04807838,0.002982221
Ecuador,0,0,0,0,0,0.006450167,0.006450167,0.009327188,0.005375139,0.010750278,0.013437847,0.012221832,0.007847703,0.008062708,0.00580515,0.00450278,0.007310189,0.009460244,0.011717803,0.016831822,0.017200444,0.017092942,0.015910411,0.018547166,0.014727881,0.024188125,0.029670767,0.029696908,0.034293386,0.0309608,0.029885772,0.031626671,0.028918247,0.029455761,0.027735717,0.030125744,0.030745794,0.014002224,0.024435086,0.030933984,0.031491864,0.037649623,0.044005187,0.038407644,0.046228344,0.04799569,0.042411996,0.055494623,0.061949551,0.063832999,0.061598017,0.062525792,0.015061781,0.069391768,0.000182906
Peru,0.03676595,0.038378492,0.035905928,0.039881768,0.040743553,0.039991033,0.047731233,0.045778266,0.044936161,0.046226194,0.057083975,0.061752415,0.061491589,0.064286661,0.059449036,0.063682178,0.073316894,0.076971989,0.050741311,0.068292168,0.053428881,0.056653964,0.056331456,0.052961273,0.045043664,0.043108614,0.040421044,0.036343869,0.038378492,0.040098536,0.038808503,0.039238514,0.023328103,0.039561022,0.039776028,0.033342016,0.035798425,0.042786106,0.050633808,0.082979808,0.14675923,0.171756466,0.258864386,0.327747951,0.336112251,0.473165035,0.532509127,0.594078334,0.577195732,0.660481175,0.692113402,0.759714126,0.097672901,0.167769649,0.002222387
