location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,57.57323014,59.20516438,59.0811612,59.53698082,56.74803288,52.70240822,52.18128962,52.50109589,52.38877534,53.87236986,53.01398634,52.5514,48.82207397,44.09441918,47.72261475,45.07904932,43.99734247,45.53583836,46.72847268,47.42642466,48.7936274,48.48712877,48.74290437,49.57660274,51.56445205,50.95528493,51.51383333,51.78736712,52.11935342,51.59515616,52.40978142,53.74331781,51.85695342,52.32477808,50.79478415,49.45369315,50.69480822,52.78363014,55.07814481,56.50370959,58.39864658,62.74487123,65.6646612,66.31650137,70.93042466,74.13562192,72.29319672,-0.024852091,0.041316669,0.210960503
Canada,5.062380212,5.512745675,6.17364906,6.598569948,6.369595039,6.524803908,6.497898835,6.856394053,6.583581491,7.201791789,6.82307505,6.585589657,6.788017018,6.372319583,6.905088133,7.459530666,6.956272538,7.570225202,8.771940235,9.338328761,9.556524999,10.18283296,11.24699634,12.46353126,13.43490701,14.33920425,14.81848587,15.10987661,15.52681216,15.69504541,16.1900842,16.57859891,16.66050958,16.10515023,16.16200615,16.51955086,16.61143671,16.00833,15.37444093,14.28049483,13.98135545,13.97570511,13.61709263,13.68041648,14.23722712,14.42688137,14.66562509,0.016548533,-0.013453813,0.042796111
Mexico,1.08821271,1.077192314,1.11913726,1.220185285,1.279657419,1.299597865,1.273451926,1.353064243,1.693962155,2.057750754,2.480460254,2.677624896,2.861618257,2.881445726,2.826946152,2.754097506,2.448815602,2.488819741,2.514908602,2.42044553,2.623919725,2.660606447,2.5690355,2.758385498,2.938712241,2.90181497,3.155021017,3.3439403,3.621504317,3.636088624,3.697443657,3.720862152,3.844536279,4.026969142,4.184221817,5.05324083,5.544120425,5.181103296,5.150586088,5.734837129,5.569295864,5.635910558,5.518393976,5.629809593,5.52110853,5.230342171,4.552161702,-0.129662735,0.003450631,0.013283772
Total North America,63.72382306,65.79510237,66.37394752,67.35573605,64.39728534,60.52680999,59.95264038,60.71055419,60.66631899,63.13191241,62.31752164,61.81461455,58.47170925,53.34818449,57.45464904,55.29267749,53.40243061,55.5948833,58.01532151,59.18519895,60.97407212,61.33056817,62.55893621,64.7985195,67.93807131,68.19630415,69.48734022,70.24118404,71.2676699,70.9262902,72.29730928,74.04277887,72.36199928,72.45689745,71.14101212,71.02648484,72.85036536,73.97306344,75.60317183,76.51904155,77.94929789,82.3564869,84.80014781,85.62672744,90.6887603,93.79284545,91.51098351,-0.024328742,0.028193701,0.267040386
Argentina,0.58245005,0.607730395,0.59545734,0.617891395,0.610579727,0.69330048,0.712317974,0.722489379,0.684556058,0.805046059,0.916418479,0.91865884,0.996843308,1.141526056,1.235070429,1.284868485,1.505145189,1.535577349,1.810634635,1.932482595,1.829250349,1.960871925,2.025326989,2.036703904,2.102388748,2.319575787,2.55541953,2.684623053,2.897673592,3.306694855,3.679591273,3.679393489,3.624086869,4.044209665,4.330388119,4.414816571,4.460290246,4.337414571,4.251267837,4.008075518,3.879684756,3.752447641,3.640362439,3.437891429,3.430064891,3.530625102,3.692623915,0.04588389,-0.022101243,0.010775534
Bolivia,0.0038701,0.0038701,0.102920692,0.159104111,0.166521803,0.164156742,0.168747051,0.178562114,0.175982047,0.192429972,0.235323874,0.251664003,0.261016744,0.250588975,0.2403627,0.238871172,0.243278786,0.254459075,0.268237054,0.28369983,0.289934991,0.288214947,0.283077568,0.283207479,0.305379014,0.305133014,0.307293415,0.259722301,0.271257945,0.218410603,0.312201913,0.455899315,0.584108959,0.671290767,0.94187235,1.165199014,1.247785699,1.336507205,1.379032514,1.191267342,1.37503874,1.50733389,1.713767869,1.962668493,2.032988055,1.961177753,1.903059895,-0.029634162,0.053444561,0.005553365
Brazil,0.007624097,0.012103254,0.016442063,0.01886964,0.036309762,0.039550003,0.045429515,0.056704221,0.074620849,0.08176844,0.095325949,0.085771091,0.122557359,0.165728808,0.192362633,0.241969778,0.281805685,0.314779905,0.315915708,0.324786532,0.295700792,0.307409118,0.347288589,0.407940557,0.445515919,0.491703937,0.535853771,0.584880885,0.612675198,0.719391971,0.722787979,0.740193378,0.894250212,0.971480437,1.065545167,1.056775894,1.079058495,1.08650983,1.347760964,1.154120469,1.412039534,1.619458044,1.859335756,2.063418995,2.194848677,2.237792928,2.265476208,0.012370796,0.077912976,0.00661094
Colombia,0.125563244,0.120208072,0.146437612,0.152149245,0.158300844,0.137874854,0.139639102,0.15875609,0.21082977,0.240850591,0.256681798,0.282104667,0.300748957,0.330416212,0.33500064,0.342636218,0.333938014,0.351895969,0.338411418,0.342959743,0.362773346,0.359219191,0.366972076,0.360256783,0.371633313,0.389607444,0.419143154,0.524480448,0.599866424,0.526227483,0.574999931,0.596999928,0.602999928,0.577999931,0.614999926,0.647999922,0.679999919,0.729577604,0.874043731,1.016461128,1.089999869,1.060090398,1.155416528,1.222321919,1.139994782,1.073208256,1.002717162,-0.065682586,0.051746087,0.002926053
Peru,0.039991033,0.047731233,0.045778266,0.044936161,0.046226194,0.057083975,0.061752415,0.061491589,0.064286661,0.059449036,0.063682178,0.073316894,0.076971989,0.050741311,0.068292168,0.053428881,0.056653964,0.056331456,0.052961273,0.045043664,0.043108614,0.040421044,0.036343869,0.038378492,0.040098536,0.038808503,0.039238514,0.023328103,0.039561022,0.039776028,0.033342016,0.035798425,0.042786106,0.050633808,0.082979808,0.14675923,0.171756471,0.258864386,0.333961749,0.343287671,0.700299252,1.099093151,1.144247951,1.179614627,1.250430068,1.208887671,1.350904372,0.117477168,0.234747207,0.003942106
Trinidad & Tobago,0.176734567,0.172254021,0.177551745,0.170987651,0.156214107,0.141979002,0.15936861,0.18784331,0.224251441,0.231796509,0.261178033,0.288487355,0.350620356,0.363247079,0.379573518,0.389635175,0.398716987,0.422371296,0.484830593,0.487087876,0.505011168,0.550684931,0.530689891,0.597260274,0.684054794,0.734356164,0.826911339,0.899806849,0.899806849,1.134917671,1.497999821,1.601999808,1.862999777,2.611999687,2.913999651,3.196999617,3.881999535,4.082999511,4.048999515,4.219999495,4.329999481,4.168999501,4.121999506,4.144999504,4.070999512,3.832999541,3.326999601,-0.132011479,0.018309085,0.009708597
