location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,11522.1877,12100.34731,12566.88047,13404.54855,14152.9851,14709.91025,15222.75808,16380.81385,17317.93277,16630.648,16333.56088,17460.74454,18443.36677,18755.94066,18438.21115,17062.35484,16059.69534,15294.96268,15234.5403,15725.35893,15726.13099,16280.89362,16664.66912,17283.25013,17325.23321,16988.18236,16713.44307,17032.7827,17236.23099,17718.64751,17724.81978,18309.3582,18620.57411,18917.18792,19518.90178,19701.3682,19648.61973,19760.90485,20033.04008,20731.54372,20802.16038,20687.41918,20680.38356,19490.41373,18771.39726,19180.12877,18882.07397,18490.21585,18961.12603,19105.6137,19530.90959,19631.2377,0.005136889,-0.006286013,0.203310598
Canada,1108.116301,1167.468795,1245.557068,1322.15735,1380.190329,1471.579753,1512.128247,1588.909235,1682.379178,1712.654082,1682.419918,1788.929071,1811.693233,1849.04474,1931.127589,1898.032459,1788.171096,1608.54537,1518.12474,1539.787814,1556.131534,1559.479068,1627.213151,1709.77377,1770.719342,1747.306356,1659.168493,1688.913716,1697.295781,1726.13537,1848.248824,1889.218279,1968.884379,2002.267713,2061.212959,2042.706382,2093.870156,2172.313143,2233.092532,2308.590912,2277.951462,2275.2714,2341.592646,2295.245291,2172.696029,2304.666959,2380.13185,2340.359405,2382.873553,2372.059325,2298.822354,2343.250478,0.019326471,0.000912457,0.024267836
Mexico,296.3591781,309.1358082,331.2727123,361.4751639,382.5273973,411.5444932,433.79,480.6556284,514.7095616,588.5524658,662.9322466,729.9875137,755.1297808,874.0119726,950.6086712,1047.689978,1172.345041,1227.547164,1202.503219,1279.507617,1344.578274,1370.67011,1421.087603,1406.802678,1502.64263,1580.44989,1660.372712,1683.321339,1687.20189,1821.147041,1690.113616,1720.385219,1770.207288,1868.465589,1886.963315,1965.190574,1938.725425,1863.989096,1909.165753,1982.698112,2029.582695,2019.143479,2067.33359,2054.216387,1996.186177,2014.385577,2043.146027,2063.279909,2020.453807,1942.916606,1923.424413,1868.743819,-0.028428772,-0.005357901,0.019353615
Total North America,12926.66318,13576.95192,14143.71025,15088.18107,15915.70282,16593.03449,17168.67633,18450.37872,19515.02151,18931.85455,18678.91304,19979.66112,21010.18978,21478.99737,21319.94741,20008.07727,19020.21148,18131.05522,17955.16826,18544.65437,18626.8408,19211.04279,19712.96988,20399.82658,20598.59518,20315.9386,20032.98427,20405.01776,20620.72866,21265.92992,21263.18222,21918.96169,22359.66577,22787.92122,23467.07806,23709.26515,23681.21531,23797.20709,24175.29837,25022.83274,25109.69454,24981.83406,25089.3098,23839.87541,22940.27947,23499.1813,23305.35185,22893.85516,23364.45339,23420.58963,23753.15636,23843.232,0.003792155,-0.005538465,0.24693205
Argentina,432.3739356,447.270806,459.8769773,468.9948101,491.7507328,447.7857684,479.6032603,478.584153,482.6346849,482.8743836,457.9461644,472.7293716,497.9405205,499.883589,528.4588767,490.1523497,458.2827123,441.0080548,450.8226027,426.955082,388.9779178,448.4805479,476.7063836,474.9129781,434.8742466,412.2729863,425.9309041,448.9307377,446.8160274,432.9663014,431.5095068,447.4311202,450.2628767,459.019589,430.6128493,431.6443989,426.5518356,394.9223014,406.8709041,427.0809563,451.2291301,473.8517855,527.7525443,540.0921111,532.2228912,593.6864237,608.7792899,635.6307334,682.9549952,674.356873,692.1983366,687.3159385,-0.007053467,0.043718406,0.007118176
Brazil,305.6738082,334.6025753,344.5401644,412.432377,456.5649041,515.878427,568.8412339,655.5772165,802.7574628,862.9087459,891.0888834,960.8258828,992.5040143,1093.845575,1161.575608,1125.337852,1083.288019,1128.607177,1103.534185,1141.543666,1188.22151,1346.891413,1389.864093,1416.793038,1445.038866,1416.940546,1438.098558,1519.820609,1588.783719,1697.734868,1773.105249,1864.400414,1985.325841,2056.046531,2107.68971,2029.487003,2062.780391,2044.648955,1984.086283,2064.75221,2123.3406,2155.197276,2312.826569,2484.95858,2501.856485,2720.515017,2838.629694,2900.979421,3110.169232,3238.681614,3169.592315,3017.765724,-0.047900984,0.040874512,0.031253442
Chile,70.51694045,77.45314443,81.56863082,86.06351002,92.45494402,97.83772129,108.0435342,114.2913115,109.5587397,105.0710959,92.02065753,97.10530055,100.0235616,108.8299726,109.8866027,111.301776,115.5331781,103.8460274,100.3599178,100.2109563,97.67638356,104.421589,109.3888767,120.1387705,132.9309589,140.181589,156.3612092,169.0543856,184.814267,198.173708,217.7386986,231.1498468,249.5250872,255.7716394,259.4806883,253.1262686,242.3139762,251.9738203,243.9393513,257.4065503,266.1302081,293.4898,377.1026562,389.9331824,383.4917385,342.6394997,371.0099207,375.6049307,362.4587575,371.2286963,375.7462402,378.0386304,0.0061009,0.03509461,0.003915151
Colombia,81.43229129,92.3936803,93.36931496,103.8965422,100.4919488,116.0658928,119.9529589,134.9526503,131.2271233,144.797863,144.8206301,152.092623,153.1150137,156.6368767,165.690274,157.0588197,161.4944795,165.9060548,171.8702603,171.3865902,178.5949589,177.6107397,187.0365068,196.3863716,202.6720548,205.8056164,211.1153425,230.9550546,245.5923288,253.6854795,266.221589,274.4984208,280.510886,275.1840556,245.53862,238.9628033,225.4200822,221.2866164,229.5726301,228.2560055,236.8669726,236.5134137,234.3394384,250.5534809,232.0307945,258.3435068,276.7379178,296.6306831,297.9826301,316.4504658,332.8896743,340.4116304,0.022595943,0.034616932,0.003525468
Ecuador,13.39479452,13.96934247,15.11030137,18.00893443,18.95109589,21.51356164,23.87684932,24.6568306,27.43871233,31.34693151,30.72605479,34.70180328,43.55808219,44.83956164,47.77531507,61.87669399,68.98591781,75.13745205,68.84060274,69.1186612,85.13819178,86.42369863,87.64178082,86.60674863,90.73386301,91.46468493,102.8099452,99.67308743,104.1941644,113.1543836,111.0132877,123.2400546,140.5024932,143.3421918,130.106274,136.5103825,136.6467397,144.9703014,150.5633973,154.5646055,169.1541444,179.6538828,182.7494543,188.0743925,190.666616,220.419874,226.1170959,232.9755792,247.4189863,260.3718301,254.2131699,239.3386339,-0.058512059,0.041577381,0.002478707
Peru,72.12477823,92.29593222,93.0006006,92.76075265,91.02254593,95.37770423,95.2649589,81.64538251,95.41720548,112.0861096,117.5793973,118.6397268,118.3371233,116.935726,121.3953425,131.041694,134.410137,132.8627397,115.9838904,119.1180055,115.007589,123.976137,136.9325753,133.9846995,118.9525753,119.1571233,110.6704384,115.8385246,121.1346575,131.4612603,148.0157534,152.4458197,151.7184932,152.8735342,156.6431233,152.8203825,145.636274,145.3330959,138.4193699,152.2418033,151.7814614,146.5382965,153.3246265,172.3592687,177.5024658,188.6239726,208.0636986,212.943306,226.6371233,224.7150685,239.7185616,256.2026574,0.068764369,0.046762832,0.002653359
