location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,9014.148,9579.241,10219.252,10599.743,10827.674,11296.849,11155.778,11184.896,10945.953,10461.205,10007.737,9735.639,9862.562,10274.441,10135.534,10169.626,10180.573,10198.534,10246.668,10508.951,10580.378,10231.142,9943.978,9764.689,9159.077,8914.307,9075.545,8868.125,8582.665,8388.579,8321.639,8294.527,8268.592,8010.833,7731.458,7731.604,7669.401,7625.078,7367.3,7249.995,6899.822,6824.864,6859.686,6783.958,7263.034,7549.211,7861.873,8893.711,10072.577,11778.545,12757.11,12353.815,-0.031613351,0.063387232,0.134061913
Canada,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1812.795211,1805.117462,1908.769948,2002.418514,1961.456228,1967.735671,1983.505343,2065.57906,2189.010303,2281.334789,2402.127813,2479.917424,2587.590283,2672.381339,2604.399595,2703.401902,2727.958126,2858.164101,3003.470792,3079.881446,3040.896028,3208.38421,3290.189661,3207.035298,3202.397689,3332.0798,3514.822066,3740.237677,4000.410965,4270.529903,4389.140224,4460.221545,0.016194817,0.037379803,0.048401715
Mexico,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912,2758,2879,2877,2897,2940.776929,3099.631422,3098.273033,3115.344899,3135.955619,3054.768086,3270.057022,3408.626121,3498.555624,3351.690314,3455.945608,3568.128043,3592.648327,3794.699589,3830.180329,3765.620805,3689.125731,3478.530384,3165.327712,2978.494802,2959.36648,2940.31338,2911.097981,2874.752731,2784.200879,2586.540847,2455.799498,-0.050546795,-0.036862537,0.026650001
Total North America,10296.148,10961.241,11736.252,12232.743,12594.674,13256.849,13223.778,13519.896,13584.953,13107.205,12548.737,12227.639,12555.562,13198.441,13577.534,14062.626,14343.573,14789.534,14837.668,15225.951,15305.17321,14794.25946,14731.74795,14644.10751,14017.53323,13822.8196,14158.68177,14031.97709,13887.0202,13805.86941,13778.5349,14044.50145,14264.8084,14181.76996,13687.54791,13890.95151,13965.48717,14075.89043,14165.47038,14160.05678,13706.33883,13722.37394,13628.40605,13156.32101,13443.92649,13840.65728,14317.00845,15545.04666,16947.7407,18833.27578,19732.79107,19269.83604,-0.023461204,0.037114498,0.209113628
Argentina,275.6739726,292.8641096,318.6312329,348.1584699,361.5320548,399.4646575,431.5380822,444.115847,433.6356164,423.3873973,406.0909589,408.0218579,441.7150685,466.2049315,487.2827397,505.7103825,518.9254795,517.0821918,520.1726027,509.0065574,490.7945205,465.3676712,459.4049315,481.2021858,492.2865753,517.4109589,525.6115068,586.8710383,629.8652055,695.4920548,757.9161644,822.7989071,877.430137,889.9479452,834.4597177,849.6236247,923.7028321,909.8748534,915.9307912,877.2450733,845.5243052,852.0212653,815.3963931,803.1278909,729.3594863,714.9404189,659.5657696,664.4676264,654.9642639,640.8268942,640.6409661,619.4376892,-0.033096973,-0.027367312,0.006722053
Brazil,96,117,147,161,176,166.6810307,174.8450014,171.1862906,173.986204,181.7622396,177.4148263,172.3305367,166.7199989,165.8252473,171.6450149,187.7781923,220.0210091,267.9146727,339.4241148,473.7270973,560.9602415,591.1207808,589.7826002,573.5153549,613.1983881,650.5360011,643.3515669,652.6,667.4,691.7,714.9,808.4,869.4,1003.2,1132.4,1276.2,1339.1,1497.7,1557.8,1542.8,1705.575861,1806.129413,1830.992319,1897.124569,2028.960443,2136.864245,2178.795572,2144.921987,2109.871765,2341.297446,2524.940349,2604.831215,0.031640694,0.040011181,0.028267273
Colombia,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183,307,388,380,407,446,430,442,458,460,591,635,667,775,838,687,604,578,541,528.29,526.1618192,529.3136712,531.439035,588.35,670.6,786.1118356,915.2642466,944.120082,1003.988,990.3786301,1005.574493,923.9689617,-0.081153144,0.066914191,0.010026785
Ecuador,8,7,6,5,4,4,4,78,209,177,161,188,184,204,216,206,213,213,240,261,286,298,176,309,286,292,307,328,353,388,395,393,397,385,383,403,410,394,420,528,534,537.6796175,513.0880745,506.7185792,488.0657534,488.0870101,500.608001,504.6155356,527.3535605,556.5539029,543.0948606,545.2813396,0.004025962,0.001690243,0.005917319
Peru,66,66,74,77,75,75,64,67,73,79,73,77,92,152,193,196,194,196,171,185,189,179,165,142,131,130,116,117,127,128,123,121,120,116,107.3273973,99.5295082,97.65260274,97.67726027,91.58191781,93.32513661,112.4360301,117.6830438,116.5392795,122.1250847,146.5130493,157.5188164,153.0643151,153.9791694,166.9540384,168.9369726,144.6861726,135.0879167,-0.066338447,0.025538933,0.001465956
Trinidad & Tobago,135,153,179,191,157,140,129,141,166,187,216,212,229,230,214,212,189,177,160,170,176,169,155,151,149,150,149,144,134,141,142,141,135,134,141,143.1065191,139.4204795,160.6426301,174.7709397,164.895776,170.4253397,177.4501808,154.2645205,152.278724,150.7561342,145.1823452,136.9189452,116.7348251,115.1568959,114.2618603,108.6297863,96.48644262,-0.111786501,-0.044036137,0.001047058
Venezuela,3503,3402,3576,3639,3631,3754,3615,3301,3455,3060,2422,2371,2314,2227,2425,2228,2163,1954,1852,1853,1744,1886,1910,1998,2012,2244,2501,2499,2592,2752,2959,3137,3321.123,3447.309,3095.06,3111.632763,3174.431042,2975.087352,2868.561487,3305.899818,3302.107675,3340.165511,3232.529416,3221.988299,3041.716418,2841.572027,2755.021082,2703.734191,2680.356164,2692.493151,2644.2073,2410.191695,-0.088501232,-0.02197394,0.026155071
Other S. & Cent. America,47.13452055,54.41109589,78.21424658,84.57131148,83.80465753,63.94671233,80.38465753,89.23715847,89.73890411,85.59616438,77.88,77.64612022,68.01361644,65.87232877,66.25473973,80.05565574,87.10419178,99.37758904,97.91369863,94.68762295,91.15983562,88.82386301,85.64846575,77.08259563,76.18542466,77.25465753,77.18813699,76.02284153,82.52950685,89.50054795,96.40252055,101.7559016,107.6139452,124.9308767,123.5316164,126.3193989,133.5725753,150.5166438,150.7188219,144.7949366,144.9503028,137.9994526,139.3911696,137.9839926,128.5247334,133.8218193,136.9892644,143.0071452,148.3971842,153.7560268,149.4882943,138.3513731,-0.07450029,0.003087471,0.00150137
