location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,36.53300047,36.49400043,35.079,35.63600063,36.08899927,36.36000013,35.0539999,35.40300083,35.06300068,34.2699995,33.83999968,32.14599943,31.19600105,30.17900085,29.62700081,29.75,29.84000015,30.51899958,28.55800056,29.67099953,30.39000034,30.43899918,30.671,29.35000086,29.29900026,29.92199993,29.44400024,30.45999908,28.39599991,30.87199879,34.98999977,39.77500057,44.17999935,48.46299839,54.96199799,47.98700047,47.98700047,0,0.048366895,0.028117328
Canada,39.52752149,40.1753341,40.31209671,40.49126077,40.53176677,40.93903875,41.10200095,41.20126247,41.46775961,41.29570246,40.29383779,40.09835982,39.63399005,39.49572134,48.1492058,48.36655521,48.942626,48.80309284,49.82308888,181.5604463,181.503696,180.940955,180.4000132,179.9029508,179.576041,180.0441149,179.3619549,178.8340306,176.3499202,175.0152239,174.848026,174.1768767,173.7160947,173.0375355,172.1564026,171.5118376,171.5118376,0,-0.004843195,0.10049502
Mexico,47.22399902,56.9980011,56.9980011,57.09600067,56.40999985,55.5929985,54.88000107,54.11000061,53.01200104,51.98300171,51.29800034,50.92499924,51.22499847,50.77600098,49.77500153,48.79600143,48.47200012,47.8219986,21.63800049,21.5189991,20.18600082,18.7670002,17.19599915,16.04100037,14.80270028,13.66969967,12.84960008,12.18659985,11.86549962,11.86550045,11.6912998,11.39370036,11.42390037,11.07880044,10.81640029,7.976500094,7.976500094,0,-0.052443009,0.004673721
Total North America,123.284521,133.6673356,132.3890978,133.2232621,133.0307659,132.8920374,131.0360019,130.7142639,129.5427613,127.5487037,125.4318378,123.1693585,122.0549896,120.4507232,127.5512081,126.9125566,127.2546263,127.144091,100.0190899,232.7504449,232.0796971,230.1469544,228.2670124,225.293952,223.6777415,223.6358145,221.6555552,221.4806296,216.6114197,217.7527231,221.5293256,225.3455776,229.3199944,232.5793344,237.9348009,227.4753382,227.4753382,0,0.001703743,0.133286069
Argentina,2.457000017,2.171652079,1.949599981,2.44976902,2.348999977,2.24000001,2.23300004,2.246000051,2.279900074,2.167700052,1.569987059,1.683266521,2.017437935,2.2167871,2.252632856,2.386366844,2.600434303,2.621177912,2.753414869,3.071188688,2.973702908,2.878682852,2.82050848,2.674509287,2.478009224,2.180262804,2.586760044,2.616020441,2.520308256,2.511496305,2.524151802,2.525000095,2.354209423,2.329584122,2.379709005,2.394723892,2.394723892,0,0.009426403,0.001403156
Brazil,1.317966938,1.475841165,1.718439221,1.849833369,2.016010046,2.168060064,2.358414888,2.55075717,2.816137075,2.759836912,4.513040066,4.818340778,4.965742588,4.982159138,5.374442101,6.223044395,6.680678368,7.10594511,7.357254505,8.153311729,8.464488029,8.485199928,9.804286957,10.6015892,11.24303627,11.77226162,12.18200016,12.62382984,12.80142021,12.87567043,14.24633026,15.04988956,15.31422138,15.59274101,16.18411255,12.99978161,12.63371944,-0.028159101,0.009968003,0.007402555
Colombia,0.550000012,0.529999971,0.610000014,0.639999986,1.100000024,1.24000001,1.700000048,1.909999967,2.049999952,1.980000019,1.99000001,1.884600043,3.231899977,3.156399965,3.138999939,2.951900005,2.798000097,2.577199936,2.477799892,2.289200068,1.971899986,1.842200041,1.631700039,1.542400002,1.477599978,1.453199983,1.50940001,1.50999999,1.361999989,1.360000014,1.899999976,1.987599969,2.200000048,2.377000093,2.444999933,2.308000088,2.002000093,-0.132582315,0.047348087,0.001173045
Ecuador,0.97390002,0.904100001,0.913999975,0.881699979,1.137099981,1.148000002,1.235100031,1.594300032,1.514899969,1.441599965,1.355200052,1.524399996,3.24000001,3.659800053,3.49119997,3.385299921,3.453000069,3.674000025,4.102000237,4.427999973,4.565999985,4.630000114,5.059999943,5.059999943,5.059999943,4.865829945,4.464930058,4.000999928,6.518000126,6.332980156,6.157800198,7.210000038,8.383029938,8.190939903,7.999560356,7.999560356,7.999560356,0,0.050971452,0.004687233
Peru,0.628445029,0.882036984,0.775144994,0.696323991,0.670445979,0.588999987,0.53579998,0.480399996,0.852999985,0.847000003,0.823199987,0.821799994,0.802600026,0.799467027,0.830892026,0.808109999,0.773521006,0.758409977,0.937382996,0.890600026,0.905619979,0.979376018,0.952890992,0.929552972,1.097303033,1.078258038,1.097288013,1.121479988,1.121479988,1.121479988,1.24000001,1.206200004,1.422700047,1.616952002,1.409846008,1.187285006,1.187285006,0,0.009678778,0.000695673
Trinidad & Tobago,0.57099998,0.57099998,0.633000016,0.540000021,0.569999993,0.611999989,0.56400001,0.619499981,0.612999976,0.618600011,0.602199972,0.572600007,0.541000009,0.560100019,0.560000002,0.656599998,0.7227,0.706200004,0.740069985,0.820969999,0.851069987,0.960070014,1.125069976,0.891070008,0.808999993,0.803000011,0.793799974,0.870999992,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.728299975,0.242982,-0.66637099,-0.009716656,0.000142372
