location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,1286.498403,1359.772077,1406.805659,1492.33708,1573.001744,1626.708389,1658.989689,1741.544437,1810.675388,1763.787102,1716.421285,1808.2772,1853.144045,1851.810117,1877.53701,1811.635322,1759.461924,1682.69848,1671.511721,1760.879198,1755.36681,1761.428274,1822.221416,1906.393263,1960.237494,1965.791954,1963.163957,1994.673221,2036.658912,2074.352731,2119.021613,2189.486399,2206.656467,2220.597681,2257.840356,2309.938142,2256.382143,2290.923084,2299.031693,2345.849173,2348.706245,2331.641965,2370.247533,2318.845057,2205.071333,2284.06891,2264.549096,2209.262071,2270.628033,2296.537509,2275.907638,2272.679676,-0.004146683,-0.003143619,0.171183124
Canada,116.3159632,123.4859193,129.5586201,138.3677205,146.1836995,156.6476472,160.979,172.151,182.77,189.064,187.001,197.3909765,207.072888,210.5881434,212.92734,218.0138256,211.9906758,215.108742,213.2611917,227.3421254,234.4427932,234.7092509,242.674831,253.05207,256.2283033,251.416963,251.7540918,258.3188716,264.2463072,274.0236375,280.8336698,291.0041312,292.4940713,286.595771,294.1353052,303.1906802,296.9492136,305.2601813,312.3470139,315.6337603,322.6138871,319.5117056,325.3915978,326.0151313,310.4847817,315.4661628,327.6170921,326.5290338,336.1083461,334.2853429,327.7177666,329.7107347,0.003332499,0.001570888,0.024834523
Mexico,24.44934346,25.71866218,26.00136104,28.39776297,31.26126006,33.28068042,34.8704175,38.37446021,41.27793339,45.97541626,49.6219917,52.91569521,55.82464204,63.44854204,70.39986661,76.47444895,84.29745967,88.16363708,87.30500651,91.92641799,95.75875207,92.44112545,95.50030478,96.01909614,100.8345873,106.3116601,110.8057264,112.6589627,113.6067099,121.2614962,117.649474,122.734566,127.3938992,134.3522384,135.9215243,142.2052515,141.7109257,145.9114105,148.4741831,155.8300359,167.6583837,172.9228771,170.8291916,174.3446662,174.1369648,178.2591183,186.4675594,188.5221964,189.1417121,190.3880655,188.8230963,186.528066,-0.014853425,0.011959156,0.014049696
Total North America,1427.26371,1508.976658,1562.36564,1659.102563,1750.446704,1816.636717,1854.839107,1952.069897,2034.723321,1998.826518,1953.044276,2058.583872,2116.041576,2125.846802,2160.864217,2106.123596,2055.750059,1985.970859,1972.077919,2080.147741,2085.568355,2088.57865,2160.396551,2255.46443,2317.300385,2323.520577,2325.723775,2365.651055,2414.511929,2469.637865,2517.504757,2603.225096,2626.544437,2641.54569,2687.897185,2755.334074,2695.042282,2742.094676,2759.85289,2817.31297,2838.978516,2824.076548,2866.468322,2819.204854,2689.69308,2777.794191,2778.633748,2724.313301,2795.878091,2821.210917,2792.448501,2788.918477,-0.003992918,-0.001651185,0.210067347
Argentina,26.93581557,28.00117026,28.72370375,29.59954059,30.66909765,28.87368422,30.39103962,31.14094867,32.29603934,33.2645648,33.02966621,34.36285056,35.62665419,36.47659291,38.99737982,39.25660638,37.69097625,38.08151764,40.22352171,40.16968988,39.15137301,44.39635215,46.50773861,47.68322779,46.05457245,45.26113954,46.4938371,48.8043237,49.35933866,50.84802311,52.76417233,55.49891053,57.68128473,58.82239567,58.44420085,61.48374184,60.70395289,58.33830122,61.85352267,64.78329811,69.04617663,72.50797448,75.5739228,76.81834289,74.81260642,79.6954308,81.35452948,83.44899532,86.50296465,86.73300922,88.7134411,88.85268615,-0.001166924,0.025380323,0.006692576
Brazil,22.04789679,24.03250296,24.90235118,28.51872431,31.11810631,36.66991215,40.11686154,46.18783,55.06869826,60.11539041,63.48073704,69.73930176,74.70454438,82.60741551,89.56439147,91.34566408,88.86503282,93.45245912,95.56347108,102.9207214,109.912903,117.7464453,121.2570447,125.9120972,128.5594571,125.9777407,130.8588376,137.0896294,143.1019892,150.428989,157.854669,166.7032457,175.7454389,181.941388,184.9304937,187.87963,185.5187448,190.5355411,194.2101787,204.4121552,211.2685362,216.7792356,231.7816438,243.8891715,242.9510517,267.5654851,279.7142102,284.8240934,296.8354364,304.9038019,302.574649,297.8183025,-0.01840887,0.03657271,0.022432316
Chile,6.123682404,6.558661058,6.670997677,6.64832357,7.156251113,7.545917051,8.057934154,8.287897678,8.008640028,7.906508653,7.129940028,7.482718079,7.732502005,8.20619103,8.467969856,8.736758881,8.960990257,8.174599683,8.357865212,8.772481287,9.03908855,9.431190976,9.884045635,11.07165415,12.28185225,12.96072504,14.20802662,15.68457202,16.58637733,17.45960643,18.83425347,20.03219895,22.89044463,22.94200819,23.7482745,24.98756828,25.27163419,26.17346189,25.98718421,27.32095856,28.4605317,30.60527303,31.49912834,31.22245741,30.94223553,30.36482447,33.65633333,34.05136685,34.365944,35.38623003,35.93777837,36.7700143,0.020362178,0.023601282,0.002769597
Colombia,7.492866255,8.175842895,8.716423307,9.154346748,9.317309446,10.12223619,9.846949849,11.08517444,11.03711795,12.36890827,12.61759132,13.14490356,13.43472866,14.35199767,15.25294922,15.47864789,15.85643443,16.57599968,17.44217936,17.89397364,18.59492283,19.17527289,20.85397826,20.8408979,21.91602734,20.43109058,21.23635579,22.28960113,24.54019531,26.33164742,26.74527596,27.39687827,28.25419458,28.42330799,26.22594311,26.01576813,25.65793214,25.60636377,26.53086247,27.08632902,27.21901169,30.70005954,30.84152194,34.0088855,31.95408784,34.23877729,35.70002134,38.37522322,38.23716996,40.31301951,41.03396108,41.127145,-0.000467548,0.041902568,0.003097785
Ecuador,0.739,0.78,0.845,0.994,1.061,1.267,1.392,1.558,1.544,1.788,1.782,1.966,2.419,2.493,2.589,3.266,3.634,3.999,3.965,4.454,5.021955922,5.248815541,5.399077024,5.344003439,5.473966647,5.533363058,6.164554329,5.973397316,6.423689121,6.99855856,6.498704055,7.409356632,8.264521315,8.387167127,7.908914092,8.379231847,8.223912348,8.645801364,8.899046522,9.197764385,9.750557016,10.33795809,10.98425123,11.69490957,11.46553035,12.73124127,13.51605337,14.27096664,14.71765685,15.48193083,15.45621364,15.29231777,-0.01330715,0.047146313,0.00115185
Peru,4.593397563,5.581548023,5.675078937,5.785543843,5.831383525,6.089716606,6.284295269,5.618279027,6.361922217,7.330075762,7.751073947,7.911345673,7.979655096,7.972571847,8.268782997,8.857155612,9.299101557,9.345060436,8.130719504,8.557071825,8.41716501,9.030739261,9.847660864,9.613651406,8.809679283,8.686657329,8.598905704,8.447910672,9.19547644,10.0496877,10.90733333,11.23761974,10.99682773,11.3570978,11.63815628,12.00992157,11.90133533,12.22684256,12.08402215,12.99360759,13.562209,13.75213747,15.06899118,16.39141621,16.72788316,18.5181953,20.26342715,21.1587849,21.7037159,22.44243028,23.71854848,25.29164422,0.063409992,0.057488777,0.001905021
