location,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2015 Total,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2016 Total
US,856.4544584,710.5274496,391.824933,189.8752336,55.76619638,71.45936685,2275.907715,863.1224947,716.3203282,358.4308579,191.8162792,59.22994369,83.75977274,2272.679688
Canada,99.1495779,92.21625,19.64556275,22.7900489,85.44622265,8.470104361,327.7177734,100.9239711,89.86755395,18.67692269,23.21010473,87.84934926,9.182832974,329.7107239
Mexico,84.39018021,78.40952319,12.69565375,2.619617565,6.989969227,3.718152343,188.8231049,82.84010776,80.58853375,9.814115214,2.391087987,6.777746571,4.116474757,186.5280609
Total North America,1039.994217,881.1532228,424.1661495,215.2849001,148.2023883,83.64762356,2792.448593,1046.886574,886.7764159,386.9218958,217.4174719,153.8570395,97.05908047,2788.918472
Argentina,32.18214717,43.36764986,1.359770359,1.617119971,9.562587682,0.624166061,88.71343994,31.90503312,44.64554365,1.057205527,1.904967326,8.682829615,0.657106914,88.85268402
Brazil,146.6179683,37.54639903,17.67513014,3.333971272,81.4008255,16.0003547,302.574646,138.8237044,32.94020974,16.518795,3.592683898,86.94753946,18.99536999,297.8182983
Chile,17.63809747,3.6626481,7.3134,0,5.42215677,1.901476031,35.93777847,17.7533561,4.079572261,8.233733581,0,4.416427371,2.286924987,36.77001572
Colombia,15.55147838,9.640352005,5.314726999,0,10.11040014,0.41700356,41.03396225,15.91048429,9.509089084,4.584670263,0,10.6404082,0.482493158,41.12714767
Ecuador,11.79708405,0.57299,0,0,2.963359282,0.122780308,15.456213,11.0428393,0.58321373,0,0,3.527668989,0.13859575,15.29231739
Peru,10.68071693,6.43809785,0.810332473,0,5.359791562,0.429609662,23.71854782,11.44203504,7.086286983,0.812552562,0,5.391264878,0.559504758,25.29164505
Trinidad & Tobago,2.244964172,19.36853999,0,0,0,0.00108612,21.61458969,2.154144629,17.1979861,0,0,0,0.001089096,19.35321999
Venezuela,30.23900954,31.0690233,0.201,0,17.27496945,0.002051999,78.78605652,28.70554135,32.01077557,0.067693904,0,13.85783851,0.002057621,74.64391327
Other S. & Cent. America,67.48752401,6.585721842,3.202746391,0,20.76894533,4.51971325,102.5646506,68.51154877,6.674432697,3.3840539,0,22.54994917,5.070360738,106.1903475
Total S. & Cent. America,334.4389901,158.251422,35.87710636,4.951091243,152.8630357,24.01824169,710.3998843,326.248687,154.7271098,34.65870474,5.497651224,156.0139262,28.19350302,705.3395889
Austria,12.45492819,7.513240374,3.241189547,0,8.384861143,2.305019112,33.89923859,12.65698454,7.867637298,3.175639524,0,8.978572572,2.449923244,35.12875748
Azerbaijan,4.533314286,9.584309974,0.000353872,0,0.370525411,0.022650134,14.51115322,4.613428845,9.39849742,0.000354842,0,0.443250215,0.037776621,14.49330902
Belarus,7.706702649,14.01199814,0.666248905,0,0.024211431,0.034167534,22.44332886,7.536638993,15.31221723,0.778520752,0,0.024277764,0.068680921,23.72033691
Belgium,30.958,13.60305977,3.1831,5.906389781,0.071955469,3.201339548,56.92385101,31.76926429,13.88568763,2.978384,9.849750645,0.088333459,3.156769018,61.72818756
Bulgaria,4.376,2.579836629,6.6192,3.479906775,1.280943114,0.703036611,19.03892326,4.516529784,2.687059329,5.7445606,3.569679821,0.871729601,0.715230009,18.10478973
Czech Republic,8.928,6.481991019,16.58,6.073403629,0.406118478,1.726045391,40.19556046,8.401473873,7.016337059,16.9003,5.4541793,0.452504865,1.669738426,39.89453125
Denmark,7.988704872,2.845445065,1.728354024,0,0.004079751,4.286634764,16.85321808,8.038279175,2.893815995,2.094112711,0,0.004203935,4.054813092,17.08522415
Finland,8.742437811,1.967206458,3.785826884,5.317702093,3.790450095,3.089762125,26.69338226,8.998522468,1.791105379,4.098117894,5.307221985,3.56920337,3.366069922,27.13023949
France,76.783326,35.05288446,8.383712335,98.97909218,12.30192447,7.909218446,239.4101715,76.37417483,38.31562942,8.31551514,91.23625175,13.46477776,8.159651245,235.8659973
Germany,110.005,66.16819528,78.47112353,20.76895303,4.294057763,38.10177852,317.8091125,112.985244,72.42313877,75.28422662,19.14965832,4.751776259,37.86735756,322.4614258
Greece,14.91785927,2.538343992,5.6064,0,1.379825316,1.980359325,26.42278862,15.37732584,2.5601527,4.6813512,0,1.212849681,2.078879124,25.9105587
Hungary,6.994572826,7.488607051,2.363,3.582928904,0.052948364,0.673620854,21.1556778,7.102210826,8.031575428,2.2844173,3.632600579,0.059012934,0.78216099,21.89197922
Ireland,6.814,3.760558195,2.185468511,0,0.182521463,1.595700555,14.53824902,7.041013911,4.299410159,2.175966441,0,0.154126821,1.506814444,15.17733097
Italy,57.63327983,55.30130507,12.301,0,10.30388741,14.33832647,149.8778076,58.10082695,58.07896533,10.86957,0,9.273079707,14.99970413,151.3221588
Kazakhstan,13.18252469,11.56909462,35.7938,0,2.097343531,0.040558334,62.68331909,13.19516371,12.04138711,35.61055212,0,2.103089677,0.079354664,63.02954483
Lithuania,2.7945,2.0672379,0.1824,0,0.079105761,0.300968457,5.424212933,2.9909,1.8420039,0.191736625,0,0.102955152,0.362266371,5.489862442
