location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),0,0,0,0,0.3,0,0,0
Congo (Brazzaville),0,0,6,33,41,41,58,53
Rwanda,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,2.44249E-15,-2.88658E-15,1.8
Algeria,1787,2940,3151,2988,2923,3053,2813,2942
South Africa,0,58,78,34,45,39,42,34
Libya,219,212,399,594,277,431,452,417
Egypt,286,646,1501,2166,2163,2144,2009,1723
Guinea,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0
Angola,19,20,23,26,27,27,33,26
Central African Republic,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0
Gabon,3,2.8,3.5,2.8,2.5,14,15,15
Togo,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),0,48,46,57,53,63,63,70
Cameroon,0,0,0,0.7,5.3,9.6,12,17
Ethiopia,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0
Equatorial Guinea,0,1.1,46,238,243,225,231,231
Zimbabwe,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0
Mozambique,0,2.1,78,110,135,173,186,198
Niger,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0
Tanzania,0,0,14,28,30,20,23,19
Senegal,0,1.8,1.8,1.8,0.7,1.6,1.6,1.6
Uganda,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0
Sudan and South Sudan,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Tunisia,12,66,88,72,68,66,65,59
Botswana,0,0,0,0,0,0,0,0
Nigeria,131,440,791,1024,1107,1503,1356,1548
Morocco,2,1.8,1.8,2.5,2.1,2.1,1.8,3.4
Sao Tome and Principe,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0
Kazakhstan,0,314,336,307,401,688,694,712
China,508,962,1763,3334,3629,3666,3986,4360
Japan,211,205,191,178,180,175,169,168
Mongolia,0,0,0,0,0,0,0,0
Pakistan,482,856,1088,1400,1383,1457,1391,1380
Armenia,0,0,0,0,0,0,0,0
Bangladesh,162,343,494,711,710,778,807,844
Sri Lanka,0,0,0,0,0,0,0,0
Afghanistan,11,8.1,0.7,4.9,4.9,5.6,5.6,5.6
Bhutan,0,0,0,0,0,0,0,0
Tajikistan,0,1.4,1.4,1.4,0.7,0.5,0.5,0.4
India,399,795,1056,1848,1682,1448,1240,1074
Turkmenistan,0,1642,2225,1600,2338,2316,2543,2684
Georgia,0,2.1,0.5,-0.4,0.2,0,0,0
Kyrgyzstan,0,0.5,1.1,0.4,0.4,0.2,1.1,1.2
Uzbekistan,0,1992,2108,2123,2226,2222,2106,2180
Azerbaijan,0,200,206,589,577,568,590,618
"Korea, North",0,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,0
"Korea, South",0,0,17,33,36,37,18,11
Nepal,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0
Barbados,1,1,1,0,0.7,0,0,0
Dominica,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0
Cuba,1.1,21,14,38,36,37,37,32
Guatemala,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0
Trinidad and Tobago,177,493,1069,1499,1434,1431,1511,1486
"Bahamas, The",0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0
Switzerland,0.1,0,0,0.2,0.3,0.3,0.5,0.7
France,101,66,41,26,22,19,12,0.6
Luxembourg,0,0,0,0,0.035315,0.1,0.1,0.2
Malta,0,0,0,0,0,0,0,0
Belarus,0,7.1,6.1,7.8,7.8,0.6,0.7,1.1
Germany,0,779,689,532,524,462,432,334
Italy,611,587,426,297,298,304,273,252
Spain,49,5.7,5.9,1.8,1.8,2.2,2,0.8
Netherlands,2693,2559,2773,3131,2851,2843,3053,2482
Poland,145,184,214,215,221,223,219,215
Belgium,0.4,0.07063,0,0,0,0,0,0
Bulgaria,0.5,2.1,0,0.4,15,2.8,9.8,6.4
Hungary,172,113,107,102,98,79,69,66
Sweden,0,0,0,0,0,0,0,0
Czech Republic,0,7.7,7.1,8.7,8.3,9.3,8.9,9.1
Denmark,111,289,369,290,233,203,171,164
Portugal,0,0,0,0,0,0,0,0
Romania,1001,480,413,374,375,375,376,379
Austria,45,64,61,64,63,67,48,47
Greece,4,1.3,0.6,0.2,0.2,0.2,0.2,0.2
Slovakia,0,6.1,5.2,3.7,4.3,5.3,4.4,3.5
Estonia,0,0,0,0,0,0,0,0
Ireland,82,42,20,10,7.3,7.9,6.6,5.4
Lithuania,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0
Norway,976,1867,3072,3756,3576,4052,3841,3843
Russia,0,19335,21224,20915,22213,21764,22139,21225
Croatia,0,59,54,67,53,57,53,48
Ukraine,0,636,685,684,699,699,745,710
Moldova,0,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0,0
Albania,9,1.1,1.1,0.4,0.4,0.6,0.7,1.1
Montenegro,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0
Serbia,0,0,0,12,18,20,22,21
Iceland,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0.035315,0.1,0.1
United Kingdom,1754,3826,3118,1988,1546,1452,1361,1362
Slovenia,0,0,0.1,0.2,0.07063,0.07063,0.1,0.1
Canada,3849,6470,6561,5390,5218,5070,5129,5349
Mexico,903,1314,1349,1769,1744,1626,1594,1567
United States,17810,19182,18051,21332,22902,24033,24334,25890
Kiribati,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0
Australia,723,1159,1266,1859,1992,1908,2179,2212
New Zealand,169,214,146,171,154,164,169,185
Papua New Guinea,0,3.9,3.5,3.9,3.5,3.5,3.9,168
Solomon Islands,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0
Taiwan,80,31,28,9.2,10,14,12,12
Indonesia,1602,2237,2001,2917,2693,2619,2606,2594
Philippines,0,0.4,102,101,102,117,103,95
Malaysia,654,1600,1967,2171,2180,2190,2292,2310
Thailand,208,658,837,1281,1306,1457,1474,1488
Singapore,0,0,0,0,0,0,0,0
Vietnam,1.4,41,141,290,272,297,303,317
Laos,0,0,0,0,0,0,0,0
Burma (Myanmar),38,120,459,427,421,424,435,593
Timor-Leste (East Timor),0,0,0,212,0,194,228,222
Brunei,318,349,406,417,439,418,421,389
Cambodia,0,0,0,0,0,0,0,0
Venezuela,761,961,828,697,887,784,746,773
Brazil,97,257,345,445,515,598,744,719
Argentina,630,1321,1611,1416,1369,1329,1256,1254
Chile,66,40,68,66,56,44,34,28
Colombia,151,201,236,398,387,421,452,448
Peru,19,12,56,255,401,418,431,456
Ecuador,4,4.9,9.2,12,8.5,0,18,20
Paraguay,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0
Bolivia,107,117,436,507,558,632,723,756
Guyana,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0
Turkey,7.5,23,32,24,27,22,19,17
Bahrain,205,303,378,433,446,484,554,597
Yemen,0,0,0,220,340,268,364,328
Kuwait,185,339,434,414,478,548,576,531
Oman,99,322,699,957,937,1060,1073,1091
Qatar,276,1028,1617,4121,5198,5546,5800,5650
Iraq,148,111,51,46,31,23,42,32
Iran,837,2127,3655,5161,5361,5640,5696,6162
United Arab Emirates,780,1355,1659,1811,1847,1918,1928,1916
Israel,1.1,0.4,26,55,92,48,161,279
Syria,103,215,215,316,278,228,187,173
Jordan,4.6,10,9.9,7.8,8.1,7.8,7.1,7
Lebanon,0,0,0,0,0,0,0,0
Palestinian Territories,0,0,0,0,0,0,0,0
