location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),5.6,5.9,7.32558,7.822,7.816,7.518,8.15746,8.74234
Congo (Brazzaville),0.5,0.3,0.42432,0.76,1.255,1.647,1.65472,1.68272
Rwanda,0.2,0.1,0.112,0.2702,0.3142,0.333,0.443,0.46
Ghana,5.7,7.1,6.66246,9.907,10.906,11.706,12.5109,12.60468
Algeria,15,24,31.9074,42.998,48.176,53.985,56.3134,60.39972
South Africa,156,196,227.98304,241.90894,243.38154,239.829,237.46376,235.43646
Libya,16,15,21.312,30.605,24.439,32.219,35.63822,35.46714
Egypt,41,74,102.88256,138.745,148.71,155.296,158.70914,162.24264
Guinea,0.5,0.7,0.881,0.919,0.956,0.986,0.978,0.98
Lesotho,0.3,0.3,0.459,0.694,0.63,0.486,0.5,0.5
Angola,1.2,1.4,2.72998,5.307,5.512,6.02,7.96106,9.16366
Central African Republic,0.093,0.1,0.159,0.159,0.175,0.181,0.155,0.17
Somalia,0.2,0.2,0.273,0.307,0.31,0.315,0.333,0.34
Burkina Faso,0.2,0.3,0.489468,0.537,0.579,0.594,0.694,0.69
Gabon,1,1.3,1.513,1.862,1.954,2.065,2.1738,2.2634
Togo,0.2,0.2,0.1829,0.126,0.126,0.109,0.09098,0.13998
Sierra Leone,0.2,0.089,0.078,0.163,0.122,0.167,0.211,0.265
Liberia,0.3,0.2,0.2,0.25,0.3,0.3,0.3,0.32
Djibouti,0.2,0.2,0.24,0.356,0.364,0.369,0.374,0.4
Eritrea,0.2,0.2,0.271,0.292,0.317,0.338,0.341,0.348
Kenya,3.3,4.1,5.8433,7.28478,7.585,8.02,8.69544,9.15416
"Gambia, The",0.066,0.1,0.191,0.23,0.241,0.251,0.255,0.3
Comoros,0.015,0.019,0.045,0.041,0.043,0.043,0.042,0.044
Cape Verde,0.039,0.1,0.222,0.323,0.333,0.344,0.331,0.35
Cote dIvoire (IvoryCoast),2.2,4.6,5.41178,5.692,5.825,6.688,7.27544,7.88882
Cameroon,2.7,3.4,3.95208,5.7612,5.81,5.757,6.02044,6.76408
Ethiopia,1.2,1.7,2.81628,4.92944,6.2823,7.533,8.63552,9.52046
Burundi,0.1,0.1,0.097,0.143,0.152,0.202,0.248,0.302
Mali,0.2,0.4,0.782,1.165,1.255,1.235,1.356,1.522
Chad,0.085,0.086,0.121,0.188,0.205,0.193,0.181,0.2
Benin,0.019,0.07908,0.10064,0.14206,0.147,0.154,0.16468,0.17502
Swaziland,0.3,0.5,0.39,0.502,0.545,0.528,0.551,0.654
Equatorial Guinea,0.017,0.042,0.085,0.094,0.092,0.092,0.092,0.098
Zimbabwe,9.3,6.7,9.035,8.441,8.931,8.93,9.25552,9.70212
Malawi,0.7,1.2,1.377,1.753,1.827,1.919,1.85,2.073
Mozambique,0.4,9.6,13.15074,16.49886,16.661,15.014,14.72906,17.48786
Niger,0.2,0.2,0.219,0.462,0.561,0.614,0.6385,0.64884
Guinea-Bissau,0.038,0.055,0.03,0.03,0.031,0.032,0.032,0.034
Tanzania,1.7,2.4,3.43,5.087,4.88,5.344,5.67272,6.06766
Senegal,0.9,1.4,2.275,2.825,2.882,3.148,3.30644,3.46262
Uganda,0.8,1.6,1.902,2.431,2.533,2.59,2.946,3.01
Zambia,7.8,7.7,8.846,10.343,11.382,12.244,13.166,13.927
Sudan and South Sudan,2,3,4.159,7.359,8.271,9.201,10.52466,11.59606
Madagascar,0.6,0.8,1.111,1.184,1.267,1.45,1.388,1.444
Mauritius,0.7,1.7,2.115066,2.566,2.599,2.662,2.74642,2.76772
Seychelles,0.095,0.2,0.217,0.283,0.304,0.316,0.327,0.35
Tunisia,5.2,10,12.976,14.954,15.337,16.795,17.1046,17.74876
Botswana,0.9,0.9,0.81498,0.43,0.306,0.661,1.79264,2.22128
Nigeria,12,14,22.515,24.87218,25.706,27.266,27.41658,28.83436
Morocco,9.1,12,18.72254,22.4091,23.5981,25.757,26.20922,27.0919
Sao Tome and Principe,0.015,0.028,0.039,0.054,0.06,0.065,0.066,0.07
Mauritania,0.1,0.2,0.499,0.632,0.654,0.721,0.777,0.847
