location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),4.4,4.5,4.82758,6.674,7.128,7.666,8.27246,9.31134
Congo (Brazzaville),0.4,0.3,0.41632,0.575,0.611,0.915,0.93072,0.90372
Rwanda,0.2,0.2,0.19216,0.328286,0.367206,0.39769,0.50299,0.5198
Ghana,5.3,6,5.17046,6.616,7.707,8.578,9.6429,9.20568
Algeria,13,20,27.5164,33.84,38.135,42.868,45.2014,49.20572
South Africa,145,180,205.08004,214.96594,218.30954,212.579,211.47476,211.83746
Libya,13,11,18.517,18.882,16.17,12.032,12.39222,9.25814
Egypt,37,63,89.50056,122.384,133.805,136.594,139.61314,142.69964
Guinea,0.5,0.7,0.81933,0.85467,0.88908,0.91698,0.90954,0.9114
Lesotho,0.2,0.3,0.43987,0.84642,0.8059,0.73098,0.746,0.765
Angola,1,1.2,2.06798,4.68,4.875,5.321,7.03506,8.09566
Central African Republic,0.08649,0.09765,0.14787,0.14787,0.16275,0.16833,0.14415,0.1581
Somalia,0.2,0.2,0.25389,0.28551,0.2883,0.29295,0.30969,0.3162
Burkina Faso,0.2,0.3,0.58020524,0.88441,1.03347,1.06742,1.17742,1.1917
Gabon,0.9,1,1.217,1.485,1.55,1.644,1.8718,2.0964
Togo,0.4,0.5,0.6079,0.744,0.887,0.976,1.00198,1.10198
Sierra Leone,0.2,0.08277,0.07254,0.15159,0.11346,0.15531,0.19623,0.24645
Liberia,0.3,0.2,0.186,0.2325,0.279,0.279,0.279,0.2976
Djibouti,0.2,0.2,0.2232,0.33108,0.33852,0.34317,0.34782,0.372
Eritrea,0.2,0.2,0.3,0.3,0.3,0.3,0.3,2.9
Kenya,3.4,4.7319,6.10478,6.251,6.524,7.14744,7.57016,0.06138
"Gambia, The",0.1,0.17763,0.2139,0.22413,0.23343,0.23715,0.279,0.01395
Comoros,0.01767,0.04185,0.03813,0.03999,0.03999,0.03906,0.04092,0.03627
Cape Verde,0.1,0.20646,0.30039,0.30969,0.31992,0.30783,0.3255,1.9
Cote dIvoire (IvoryCoast),2.7,2.88178,4.142,3.867,4.731,4.77544,5.82482,2.3
Cameroon,2.7,3.25408,5.1812,5.226,5.178,5.41344,6.08408,1.1
Ethiopia,1.5,2.53128,4.18244,4.6833,5.23,6.02652,6.69346,0.1
Burundi,0.1,0.16121,0.22799,0.24036,0.28686,0.33064,0.38086,0.2
Mali,0.4,0.72726,1.08345,1.16715,1.14855,1.26108,1.41546,0.07905
Chad,0.07998,0.11253,0.17484,0.19065,0.17949,0.16833,0.186,0.2
Benin,0.4,0.58264,0.87006,0.858,0.898,0.95968,1.02202,0.7
Swaziland,1,1.2347,1.37586,1.31285,1.30404,1.33443,1.46822,0.01581
Equatorial Guinea,0.03906,0.07905,0.08742,0.08556,0.08556,0.08556,0.09114,9.9
Zimbabwe,10,10.432,7.479,7.919,7.711,8.07952,7.95512,0.7
Malawi,1.1,1.28061,1.63029,1.69911,1.78467,1.7205,1.92789,0.7
Mozambique,4.1,9.10874,10.49986,10.821,11.284,11.36306,12.33286,0.3
Niger,0.4,0.49,0.897,1.03,1.093,1.0885,1.19084,0.03534
Guinea-Bissau,0.05115,0.0279,0.0279,0.02883,0.02976,0.02976,0.03162,1.4
Tanzania,1.9,2.52,4.098,3.776,4.357,4.59172,5.02966,0.7
Senegal,0.9,1.508,2.321,2.387,2.586,2.71344,2.98462,0.6
Uganda,1.3,1.72886,2.21483,2.30269,2.3547,2.68178,2.7393,6.1
Zambia,6.1,8.589,7.93,8.743,10.482,11.017,10.522,1.7
Sudan and South Sudan,2.6,3.375,5.911,6.534,7.381,8.14166,9.94306,0.5
Madagascar,0.7,1.03323,1.10112,1.17831,1.3485,1.29084,1.34292,0.7
Mauritius,1.5,1.911066,2.372,2.405,2.471,2.56242,2.58572,0.08835
Seychelles,0.2,0.20181,0.26319,0.28272,0.29388,0.30411,0.3255,4.6
Tunisia,8.8,11.266,13.099,13.052,14.016,14.3416,14.81476,0.9
Botswana,1.7,2.57598,3.082,3.011,3.54,4.27164,3.65028,8
Nigeria,8.5,16.935,20.37518,23.125,24.781,23.04958,23.93936,8.4
Morocco,13,18.30854,23.6711,25.5311,27.385,27.99822,28.8749,0.01395
Sao Tome and Principe,0.02604,0.03627,0.05022,0.0558,0.06045,0.06138,0.0651,0.1
Mauritania,0.2,0.46407,0.58776,0.60822,0.67053,0.72261,0.78771,0.6
Namibia,1.8,3,3.2,3.5,3.6,3.8,3.7,44
Kazakhstan,44,57,73,76,82,85,91,549
China,1178,2196.123,3713.324,4178.908,4434.908,4845.679,5066.776,773
Japan,942,969.716,1038.369,1028.556,966.09,959.12728,934.4266,3
Mongolia,2.4,3.045692483,3.7924,3.8764,4.197,5.1669,5.58664,31
Pakistan,47,67.265,74.621,73.943,76.844,82.5506,82.4736,3.7
Armenia,3.7,4.2,4.6,5,5,5.2,5.1,5
Bangladesh,12,23.4765,34.138,37.0828,39.931,42.99884,46.16552,2.6
Sri Lanka,5,7.434,8.954,9.781,10.168,10.46856,10.53244,1
Afghanistan,0.5,0.97362,2.442573,3.033803,3.89312,4.56546,4.68557,0.04764
Bhutan,0.3,0.595,1.863,1.583,1.716,1.886,2.146,13
Tajikistan,13,14,14,14,14,13,12,220
India,384,497.098,727.111,802.201,831.369,903.54679,972.6433,6.9
Turkmenistan,6.9,9,11,11,12,13,13,6.3
Georgia,6.3,7.4,7.6,8.4,8.5,9.1,9.8,9.1
Kyrgyzstan,9.1,6.8,7.3,8.9,9.9,11,11,41
Uzbekistan,41,42,45,45,45,47,48,15
Azerbaijan,15,17,14,15,18,18,20,33
"Korea, North",16,18.57414,17.6101,15.693,15.715,15.02808,14.65246,0.02139
Maldives,0.09114,0.1618293,0.223293,0.246636,0.26691,0.28179,0.30411,94
"Korea, South",260,350.16978,450.2353,472.729,482.87,487.8483,495.02782,0.8
Nepal,1.4,1.952,2.75582,3.12,3.26,3.6804,3.94394,0.08277
Antigua and Barbuda,0.1,0.21204,0.29667,0.29574,0.2976,0.29946,0.30225,0.4
Barbados,0.7,0.891,0.986,0.934,0.938,0.912,0.89,0.02697
Dominica,0.06882,0.07347,0.087885,0.090675,0.08928,0.08928,0.09021,0.045
Grenada,0.1,0.131307,0.184404,0.181,0.178,0.175,0.177,0.05673
Saint Kitts and Nevis,0.08742,0.11625,0.16647,0.17112,0.17856,0.186,0.19065,0.09114
Saint Lucia,0.2,0.28290321,0.33294,0.33666,0.33637728,0.3348,0.33108,0.04557
Saint Vincent/Grenadines,0.0837,0.11702934,0.12648,0.12555,0.12741,0.12741,0.12927,12
Cuba,12,12.09686,13.61572,13.9411,14.463,15.10058,15.29172,2.3
Guatemala,3.8,6.525,7.727,7.753,7.902,8.46658,8.95198,2.6
Dominican Republic,5.8,10.5234,10.4925,11.21,11.958,11.994,12.216,2.1
Jamaica,5.6,6.13496,3.177,3.164,2.734,2.684,2.79774,3.3
Costa Rica,5.9,7.22074,8.55554,8.607,8.987,9.05824,9.18542,2.2
Panama,3.8,4.683714,6.125,6.5,7.128,7.46386,7.7607,2
Honduras,3.1,4.12907,4.896,5.362,5.238,5.37406,5.2561,1.3
Nicaragua,1.6,2.22843,2.802,2.963,3.264,3.4327,3.36606,0.1
Belize,0.2,0.390358,0.37423,0.37223,0.4085,0.4365,0.4375,1.7
El Salvador,4.1,4.5114,5.379,5.371,5.655,5.85514,5.73152,3.1
Trinidad and Tobago,4.7,6.247,7.711,8.003,8.345,8.7007,9.06954,0.8
"Bahamas, The",1.5,1.761792,1.69353,1.73166,1.59681,1.58286,1.61541,0.5
Haiti,0.3,0.32254,0.2174,0.267,0.408,0.40016,0.35442,47
Switzerland,53,57.51757,60.03096,58.84489,59.213,59.4691,57.72122,323
France,410,452.15806,474.009,443.589,454.661,455.1457,430.99852,4.1
Luxembourg,5.8,5.98358,6.443,6.40848,6.146,6.1508,6.15688,1.1
Malta,1.6,1.8496,0.60822,1.896,1.968,1.96204,2.012,28
Belarus,28,30,32,32,33,33,33,509
Germany,509,543,553,547,547,545,533,219
Italy,278,306.6637,306.8019,310.791,305.396,296.615,291.26756,129
Spain,194,241.45076,249.75432,246.72312,243.836,236.74335,234.49766,73
Netherlands,99,108.37572,109.904,111.737,109.768,109.47547,107.70412,114
Poland,113,119.79756,134.7495,137.9105,138.984,140.0334,141.68462,59
Belgium,79,82.78708,84.92356,82.627,83.182,83.43167,81.33034,39
Bulgaria,27,28.7814,30.20804,31.723,31.191,30.42858,30.86352,34
Hungary,32,35.9982,36.55372,36.849,36.913,36.90999,37.58128,130
Sweden,135,135.48729,136.70755,129.10443,132.326,129.46182,127.20058,54
Czech Republic,54,59,61,60,61,60,60,29
Denmark,33,34.54792,33.562,33.132,32.857,32.82534,32.26038,24
Portugal,39,46.35462,50.25852,48.682,46.853,46.14616,46.04242,65
Romania,42,47.767,48.342,49.771,48.918,46.61562,48.14612,44
Austria,53,60.52582,63.799,64.048,65.056,65.54376,64.87208,31
Greece,46,54.14774,56.40104,56.373,57.786,52.4672,52.62804,25
Slovakia,25,24,26,27,26,25,26,5.9
Estonia,5.9,6.9,7.9,7.7,8.2,8.1,8.2,12
Ireland,20,23.96182,25.251,24.577,24.303,24.55016,24.7359,8.3
Lithuania,8.3,8.9,9.2,9.5,9.7,9.7,9.9,4.9
Latvia,4.9,6.1,6.6,6.5,7.1,6.8,6.8,97
Norway,113,113.3702,119.523,113.148,117.679,118.4676,116.30184,716
Russia,716,774,859,875,889,881,891,12
Croatia,12,14,16,16,16,15,15,125
Ukraine,125,142,152,156,154,152,143,5.6
Moldova,5.6,7,5.8,4.9,5.1,4.6,3.8,5.5
Macedonia,5.5,6.6,7.1,7.7,7.3,7.1,6.9,1.7
Albania,3.8,3.7388,4.605,5.031,4.369,4.551,5.011,3.3
Montenegro,3.3,3.3,3.3,3.5,3.3,2.7,2.8,7.3
Bosnia and Herzegovina,7.3,8.5,11,12,12,12,11,29
Serbia,29,29,29,30,29,29,28,4.1
Iceland,7.3,8.2767,16.26888,16.58088,16.941,17.6177,17.49682,65
Finland,76,81.89286,85.07252,81.775,82.431,81.74666,80.87386,284
United Kingdom,336,351.3601,330.944,320.409,321.86,322.67646,309.40576,11
Slovenia,11,13,12,13,13,13,13,434
Canada,505,531.085961,501.759909,519.355,514.349,530.92434,528.09718,100
Mexico,168,192.843976,216.481407,240.612242,246.508,233.52569,238.38806,2837
United States,3592,3811.43324,3886.531182,3882.599295,3832.307,3868.331,3912.809,0.00651
Kiribati,0.01209,0.01953,0.02139,0.02325,0.02418,0.02418,0.0279,0.02511
Nauru,0.02883,0.0279,0.02139,0.02139,0.02232,0.02232,0.02325,0.02139
Tonga,0.0279,0.04185,0.04557,0.04464,0.04464,0.04557,0.0465,0.02232
Vanuatu,0.03627,0.03813,0.04929,0.05022,0.05022,0.05115,0.0558,0.04464
Samoa,0.08184,0.09765,0.108066,0.116436,0.10044,0.10788,0.1116,135
Australia,183,200.1223,222.117,222.842,222.892,222.85234,223.51364,28
New Zealand,35,38.78284,40.766,40.53,40.256,39.44594,39.8814,1.6
Papua New Guinea,2,3.09039,3.15177,3.08481,2.87091,2.93415,3.0132,0.0279
