location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),0.105805516,0.088180836,0.095,0.11,0.118890868,0.119,0.13,0.139
Congo (Brazzaville),0.019047768,0.013,0.027,0.073,0.077,0.083,0.103,0.097
Rwanda,0.012030708,0.012320728,0.013,0.012,0.013,0.013,0.015,0.015
Ghana,0.100348308,0.143,0.149,0.198,0.24,0.245,0.262376145,0.268151408
Algeria,1.238,1.228393653,1.494,1.786076718,2.001054449,2.11632268,2.029900497,2.392875636
South Africa,3.803,4.58,5.031529947,5.472,5.421,5.663,5.646,5.678
Libya,0.509,0.726,0.782,0.91,0.588,0.742,0.783,0.77
Egypt,1.43300104,2.016595728,2.759,3.308,3.401,3.67,3.6,3.584
Guinea,0.022,0.022,0.024,0.024,0.024,0.024,0.038,0.038
Lesotho,0.003,0.006040944,0.008,0.015,0.01,0.009,0.016,0.016
Angola,0.079,0.11,0.133,0.28,0.294,0.329,0.348,0.359
Central African Republic,0.003790552,0.005846683,0.005,0.006,0.006,0.006,0.007,0.007
Somalia,0.014,0.01,0.013,0.012,0.012,0.012,0.012,0.012
Burkina Faso,0.007093618,0.016989497,0.018,0.026,0.026,0.027,0.045,0.048
Gabon,0.043031206,0.037071407,0.039069993,0.05,0.049,0.061,0.065,0.065
Togo,0.009964022,0.021,0.033748925,0.039,0.035,0.034,0.033,0.035
Sierra Leone,0.015,0.013153015,0.007,0.01,0.01,0.01,0.016,0.018
Liberia,0.008,0.006,0.007,0.008,0.008,0.008,0.014,0.014
Djibouti,0.023,0.025,0.026,0.017,0.017,0.017,0.013,0.012
Eritrea,0.009010201,0.009010201,0.01,0.01,0.007,0.008,0.008,0.008
Kenya,0.122,0.142,0.184977926,0.223,0.24,0.242,0.247,0.27
"Gambia, The",0.003,0.004,0.004,0.007,0.006,0.006,0.007,0.007
Comoros,0.001020804,0.001020402,0.002,0.002,0.002,0.002,0.003,0.003
