location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),0.122,0.119,0.045,0.049,0.047324192,0.046,0.047,0.046
Congo (Brazzaville),0.353,0.614,0.5,0.688,0.667,0.654,0.626,0.622
Rwanda,0.002,0.001,0,0,0,0,0,0
Ghana,0.059,0.082,0.013,0.016,0.166,0.17,0.212,0.23
Algeria,4.753,6.190540653,7.474,6.925,7.013,6.993,6.507,6.559
South Africa,3.652,4.835,5.267,5.41,5.331,5.44,5.413,5.513
Libya,3.183,3.298,3.99,4.322,1.323,3.526,2.514,1.503
Egypt,2.361,2.546,3.004002,3.803,3.706,3.73,3.568,3.266
Guinea,0.002,0.004,0,0,0,0,0,0
Lesotho,0,0.003,0,0,0,0,0,0
Angola,1.037,1.622,2.675,4.102,3.777,3.855,3.887,3.755
Central African Republic,0.000790552,0.000846683,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
Burkina Faso,0.000093618,0.000989497,0,0,0,0,0,0
Gabon,0.59,0.69,0.576,0.531,0.522,0.51,0.489,0.489
Togo,0.00098819,0.001,1.90E-05,0,0,0,0,0
Sierra Leone,0,0.000153015,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0
Eritrea,0.000010201,0.000010201,0.000009999,0,0,0,0,0
Kenya,0.032,0.021,0.013,0.015,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0
Comoros,0.000020804,0.000020402,0,0,0,0,0,0
Cape Verde,0,0.000081608,0.000059994,0,0,0,0,0
Cote dIvoire (IvoryCoast),0.018,0.093,0.131,0.151,0.138,0.145,0.143,0.148
Cameroon,0.377,0.22,0.179,0.141739496,0.139,0.147,0.149,0.18
Ethiopia,0.011,0.017,0,0.000175608,0.06053809,0,0,0
Burundi,0.001,0.000999698,0,0,0,0,0,0
Mali,0.002,0.002,0,0,0,0,0,0
Chad,0,0,0.402,0.279,0.262,0.239,0.239,0.251
Benin,0.009,0.002020402,0,0,0,0,0,0
Swaziland,0.006,0.012,0.011,0.004,0.003,0.006,0.006,0.006
Equatorial Guinea,0.000020804,0.336020402,0.79,0.88,0.839,0.846,0.811,0.788
Zimbabwe,0.162,0.131,0.067,0.062,0.059,0.081,0.115,0.129
Malawi,0.007,0.012,0.001,0.001,0.001,0.001,0.001,0.002
Mozambique,0.003,0.099,0.08,0.122,0.154,0.307,0.37,0.454
Niger,0.002,0.002,0.002,0.003,0.018,0.046,0.046,0.046
Guinea-Bissau,0,0,0,0,0,0,0,0
Tanzania,0.016,0.024,0.015,0.029,0.033,0.023,0.027,0.023
Senegal,0.000457688,0.002540653,0.003,0.002,0.000634964,0.001,0.001,0.001
Uganda,0.008,0.016,0,0,0,0,0,0
Zambia,0.088,0.081,0.003,0,0,0.001,0.004,0.004
Sudan and South Sudan,0.015,0.363,0.654,0.902,0.841,0.209,0.459,0.481
Madagascar,0.004,0.006,0,0,0,0,0,0
Mauritius,0.000873768,0.005,0.004,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Tunisia,0.216457688,0.244877286,0.262,0.24,0.218,0.208,0.202,0.172
Botswana,0.016,0.019,0.02,0.02,0.016,0.03,0.03,0.03
Nigeria,4.069,5.178,6.446,6.341,6.605,6.997,6.501,6.822
Morocco,0.020628311,0.01,0.004001,0.003,0.002,0.002,0.002,0.004
Sao Tome and Principe,0.000083216,0.00010201,0,0,0,0,0,0
Mauritania,0.00026005,0.000326432,0,0.018,0.017,0.014,0.014,0.013
Namibia,0,0.014,0,0,0,0,0,0
Kazakhstan,3.346,3.346,4.75,5.719,5.97,6.316,6.412,6.48
China,30.401,39.368,59.583,84.625,92.015,96.004,97.303,95.829
Japan,3.411631742,4.495,3.393,3.104,1.828,0.405,0.361,0.217
Mongolia,0.166,0.121,0.176,0.6,0.704,0.636,0.634,0.772
Pakistan,0.796319156,1.14,1.178,1.432,1.434,1.518,1.468,1.495
Armenia,0.035,0.035,0.029,0.027,0.028,0.025,0.025,0.027
Bangladesh,0.16329565,0.35,0.523054995,0.763,0.759,0.835,0.863,0.902
Sri Lanka,0.032,0.032,0.000179982,0,0,0,0,0
Afghanistan,0.021,0.012,0.000739496,0.02,0.031,0.032,0.034,0.038
Bhutan,0.016,0.018,0.001,0.001,0.002,0.002,0.001,0.001
Tajikistan,0.142,0.142,0.003,0.005,0.00468441,0.007554622,0.008480672,0.009443698
India,6.181,8.77,10.049,13.192,13.329,13.41,13.352,14.185
Turkmenistan,2.048051005,2.048051005,2.664,2.092,2.827,2.931,3.198,3.373
Georgia,0.065,0.065,0.004513838,0.003678634,0.004228223,0.006,0.009,0.007
Kyrgyzstan,0.148480678,0.148480678,0.009,0.010462185,0.013369748,0.017221849,0.021,0.023
Uzbekistan,2.405,2.405,2.413,2.374,2.502,2.503,2.378,2.437
