Country,2016M2,2016M3,2016M4,2016M5,2016M6,2016M7,2016M8,2016M9,2016M10,2016M11,2016M12,2017M1
Algeria,411,417,399,416,386,359,416,378,398,415,422,405
Egypt (Arab Rep.),848,862,848,866,913,831,837,910,842,806,818,844
Angola,104,128,98,158,143,89,110,96,105,127,134,86
Niger,0,0,0,0,0,0,0,0,0,0,0,NULL
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,89,93,92,96,93,89,96,89,87,97,92,98
Nigeria,209,188,178,173,176,130,143,97,156,268,171,214
Morocco,246,237,237,244,221,246,268,244,257,273,262,NULL
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0
China,10989.571,11913.9046,12215.4228,11656.863,11364.4479,10849.5601,12270.8729,11601.6019,10574.3224,11396.9063,11875.6442,11737.5985
Japan,4745,4460,4091,3651,3628,3856,3932,3791,3863,4257,4694,4289
Armenia,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,23,NULL,NULL,NULL
India,4446,4468,4373,4313,4222,3925,4165,3992,4342,4506,4340,4098
Georgia,0,0,0,0,0,0,0,0,0,0,0,5
Azerbaijan,73,133,65,86,75,92,94,120,86,95,69,101
Korea,2888,2682,2605,2687,2662,2591,2810,2761,2721,2914,3020,2817
Nepal,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Barbados,8,9,9,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Guatemala,95,92,93,93,87,83,82,79,82,91,99,92
Dominican Republic,70,72,73,69,70,69,70,69,66,71,77,NULL
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,50,52,53,50,56,44,54,50,45,43,56,55
Panama,50,52,53,49,50,49,52,50,49,47,51,50
Nicaragua,34,35,38,36,37,35,36,33,34,34,35,32
Belize,5,3,4,4,5,3,3,3,3,4,4,NULL
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad/Tobago,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,212,220,220,212,223,210,212,223,230,236,233,210
France,1720,1745,1695,1693,1564,1711,1712,1755,1698,1584,1678,1758
Luxembourg,56,59,56,59,56,54,53,55,58,54,60,57
Malta,41.1583,40.6159,44.1532,42.7289,45.8514,48.833,47.1896,46.094,45.3114,50.4608,45.0766,49.5374
Belarus,91,84,106,109,107,136,155,134,150,123,113,112
Germany,2606,2601,2556,2370,2434,2525,2569,2540,2563,2615,2505,2560
Italy,1330,1332,1366,1332,1388,1387,1333,1394,1296,1254,1359,1261
Spain,1266,1282,1239,1211,1292,1318,1290,1308,1266,1316,1288,1257
Netherlands,1024,1009,1028,1045,1028,1123,1108,1066,1072,1023,1037,1034
Poland,546,585,579,564,621,592,681,652,624,655,602,569
Belgium,728,730,669,643,651,637,675,704,722,675,704,696
Bulgaria,219.2016,110.7271,236.6551,238.1012,239.522,262.3148,245.9202,240.8252,244.9113,252.8143,241.8845,225.2376
Hungary,152,154,165,162,177,175,169,155,140,169,173,158
Sweden,311,314,301,314,339,311,336,350,341,326,314,294
Czech Republic,153,151,170,182,178,180,178,194,200,225,195,181
Denmark,153,153,154,160,163,151,168,173,159,165,151,148
Portugal,219,240,246,241,248,251,260,247,225,239,232,226
Romania,177.9497,206.0685,220.4958,220.4454,228.5754,241.3801,244.659,232.2243,229.7777,217.1076,197.745,171.7658
Austria,266,266,268,260,282,266,284,283,276,270,252,250
Greece,278,276,293,272,293,325,326,311,284,298,356,305
Slovakia,86,76,84,90,101,97,100,94,82,79,90,82
Estonia,26,23,21,25,26,27,28,30,27,27,28,29
Ireland,164,148,156,143,145,137,145,156,150,165,156,141
Lithuania,50.9583,52.463,57.8606,76.4244,70.8923,66.8398,76.6766,69.0678,69.3621,53.6905,56.2464,52.7152
Latvia,31.8152,32.7894,35.9674,38.5905,40.6588,41.1128,43.8873,44.047,39.5995,36.228,34.8072,32.7894
Norway,292,217,262,275,263,293,304,225,351,253,279,243
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,57.1596,50.6974,63.5945,63.3087,76.6262,73.9022,78.19,73.7592,67.3443,65.6796,88.279,45.9051
Ukraine,201,182,210,196,205,232,235,246,237,225,205,155
Moldova,13,18,18,17,18,22,26,24,21,23,20,14
The former Yugoslav Rep. of Macedonia,17,19,23,22,28,26,25,25,23,22,22,17
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,13,14,16,15,24,18,27,14,18,14,16,9
Finland,184,177,183,189,190,184,205,207,198,200,189,180
United Kingdom,1664,1570,1636,1571,1679,1573,1632,1673,1617,1614,1581,1462
Slovenia,53,46,49,49,50,49,56,55,57,51,52,40
Canada,2268,2235,2208,2264,2329,2402,2487,2421,2322,2326,2422,2304
Mexico,1916,1940,1830,1854,1928,1854,1895,1814,1819,1829,1961,1729
United States of America,19680,19616,19264,19200,19833,19712,20131,19864,19622,19655,19978,19231
Australia,1030,994,1005,972,966,957,983,971,978,1030,1016,937
New Zealand,176,172,162,160,157,157,159,166,167,178,179,175
Papua New Guinea,26.3076,22.3131,32.9932,17.8057,29.4422,38.7627,21.6289,37.4215,35.61,35.2276,18.9815,30.3307
Hong Kong China,326.8489,376.8403,362.448,310.4804,316.8074,360.6518,341.3349,398.3915,396.0526,432.8863,443.1792,415.4407
Chinese Taipei,953.9887,1009.2334,1011.1434,993.7764,1036.9836,998.0201,982.275,907.6452,1027.2295,1060.6415,1054.0252,1017.6149
Indonesia,1222.6307,1165.9348,1293.8418,1282.0956,772.7888,0,0,0,NULL,NULL,NULL,NULL
Philippines,431.1717,430.9171,424.5333,289.8387,408.2667,323.8452,366.3731,390.641,418.3871,406.2,358.1839,391.8519
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,1146.3032,1155.4903,1134.5643,1119.6249,1060.4858,1052.8904,1078.366,1071.3776,1044.454,1068.6238,1137.2644,1127.6709
Singapore,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,53,167,32,73,135,190,188,149,NULL,NULL,NULL,NULL
Brunei Darussalam,14.9021,15.1655,14.6613,14.7389,14.554,14.6635,14.9336,14.6063,14.4196,13.7845,13.4122,13.4906
Venezuela,505,482,483,485,489,491,479,378,386,429,478,0
Brazil,2553,2489,2533,2312,2457,2485,2606,2471,2439,2338,2382,2340
Argentina,663,667,650,706,733,703,695,683,671,662,684,653
Chile,347,314,329,327,339,335,326,315,307,318,328,318
Colombia,346,307,292,265,269,265,177,273,294,299,186,295
Peru,241.2783,238.9086,241.4077,239.2984,242.0959,246.1367,253.825,260.0409,255.9361,262.0889,263.5414,236.9228
Ecuador,237,230,231,217,230,218,228,247,246,249,240,219
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,34,35,33,44,40,39,39,36,37,40,40,32
Guyana,12,9,14,14,0,0,0,0,0,0,0,0
Cyprus,51.3655,46.3355,47.3733,49.5226,56.7467,62.0258,61.7806,58.7733,53.4452,51.4267,58.3484,54.9161
Turkey,893,934,980,1037,1036,998,1160,1115,1066,1007,986,843
Bahrain,25,28,30,27,28,28,30,29,29,55,27,25
Kuwait,247,195,289,323,358,375,308,251,224,233,273,NULL
Oman,176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Qatar,209,230,249,229,218,237,236,238,247,252,189,263
Iraq,590,514,546,581,648,671,738,708,463,648,736,715
Iran (Islamic Rep.),1513,1504,1500,1506,1507,1500,1450,1460,1502,1520,1502,1520
United Arab Emirates,600,603,595,815,705,741,540,575,509,546,553,NULL
Saudi Arabia,2074,2368,2290,2636,2760,2658,2925,2518,2488,2164,2210,1959
Algeria,411,417,399,416,386,359,416,378,398,415,422,405
Egypt (Arab Rep.),848,862,848,866,913,831,837,910,842,806,818,844
Angola,104,128,98,158,143,89,110,96,105,127,134,86
Niger,0,0,0,0,0,0,0,0,0,0,0,NULL
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,89,93,92,96,93,89,96,89,87,97,92,98
Nigeria,209,188,178,173,176,130,143,97,156,268,171,214
Morocco,246,237,237,244,221,246,268,244,257,273,262,NULL
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0
China,10989.571,11913.9046,12215.4228,11656.863,11364.4479,10849.5601,12270.8729,11601.6019,10574.3224,11396.9063,11875.6442,11737.5985
Japan,4745,4460,4091,3651,3628,3856,3932,3791,3863,4257,4694,4289
Armenia,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,23,NULL,NULL,NULL
India,4446,4468,4373,4313,4222,3925,4165,3992,4342,4506,4340,4098
Georgia,0,0,0,0,0,0,0,0,0,0,0,5
Azerbaijan,73,133,65,86,75,92,94,120,86,95,69,101
Korea,2888,2682,2605,2687,2662,2591,2810,2761,2721,2914,3020,2817
Nepal,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Barbados,8,9,9,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Guatemala,95,92,93,93,87,83,82,79,82,91,99,92
Dominican Republic,70,72,73,69,70,69,70,69,66,71,77,NULL
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,50,52,53,50,56,44,54,50,45,43,56,55
Panama,50,52,53,49,50,49,52,50,49,47,51,50
Nicaragua,34,35,38,36,37,35,36,33,34,34,35,32
Belize,5,3,4,4,5,3,3,3,3,4,4,NULL
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad/Tobago,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,212,220,220,212,223,210,212,223,230,236,233,210
France,1720,1745,1695,1693,1564,1711,1712,1755,1698,1584,1678,1758
Luxembourg,56,59,56,59,56,54,53,55,58,54,60,57
Malta,41.1583,40.6159,44.1532,42.7289,45.8514,48.833,47.1896,46.094,45.3114,50.4608,45.0766,49.5374
Belarus,91,84,106,109,107,136,155,134,150,123,113,112
Germany,2606,2601,2556,2370,2434,2525,2569,2540,2563,2615,2505,2560
Italy,1330,1332,1366,1332,1388,1387,1333,1394,1296,1254,1359,1261
Spain,1266,1282,1239,1211,1292,1318,1290,1308,1266,1316,1288,1257
Netherlands,1024,1009,1028,1045,1028,1123,1108,1066,1072,1023,1037,1034
Poland,546,585,579,564,621,592,681,652,624,655,602,569
Belgium,728,730,669,643,651,637,675,704,722,675,704,696
Bulgaria,219.2016,110.7271,236.6551,238.1012,239.522,262.3148,245.9202,240.8252,244.9113,252.8143,241.8845,225.2376
Hungary,152,154,165,162,177,175,169,155,140,169,173,158
Sweden,311,314,301,314,339,311,336,350,341,326,314,294
Czech Republic,153,151,170,182,178,180,178,194,200,225,195,181
Denmark,153,153,154,160,163,151,168,173,159,165,151,148
Portugal,219,240,246,241,248,251,260,247,225,239,232,226
Romania,177.9497,206.0685,220.4958,220.4454,228.5754,241.3801,244.659,232.2243,229.7777,217.1076,197.745,171.7658
Austria,266,266,268,260,282,266,284,283,276,270,252,250
Greece,278,276,293,272,293,325,326,311,284,298,356,305
