Country,2016M8,2016M9,2016M10,2016M11,2016M12,2017M1,2017M2,2017M3,2017M4,2017M5,2017M6,2017M7
Algeria,1679,1694,1681,1685,1664,1580,1610,1618,1597,,1580,1551
Egypt (Arab Rep.),0,0,0,0,0,0,0,0,0,0,0,
Angola,1747,1665,1521,1703,1655,1629,1666,1692,1691,1605,1696,1710
Niger,0,0,0,0,0,,,,,,,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,
Tunisia,0,0,0,0,0,0,0,0,0,,,
Nigeria,1542,1712,1871,2025,1672,1987,1909,1696,1894,1972,2044,2035
Morocco,0,0,0,0,0,,,,,,,
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,
China,3884.3226,3897.9,3790.1071,3925.96,3960.3561,3901.0877,3901.2986,3913.8387,3901.56,3840.1665,3955.728,3836.8606
Japan,11.1513,10.645,8.6684,11.1726,12.4104,12.7845,12.1218,12.4104,12.4374,11.662,11.5593,10.5745
Armenia,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,,,,,,,,,
India,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0
Korea,13.128,12.8267,13.8442,14.797,14.0809,15.5132,14.7967,15.5132,14.797,14.3197,11.837,14.5594
Guatemala,0,0,0,0,0,0,0,0,0,,,
Dominican Republic,0,0,0,0,0,,,,,,,
Jamaica,0,0,0,0,0,0,0,0,0,0,,
Costa Rica,0,0,0,0,0,0,0,0,0,0,,
Panama,0,0,0,0,0,0,0,0,,,,
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,,,,,,,
El Salvador,0,0,0,0,0,0,0,0,0,0,,
Trinidad/Tobago,0,0,0,0,0,0,0,0,,,,
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0
France,22.0464,19.0906,19.6617,19.3397,19.1864,19.432,18.0957,19.9071,20.815,20.1413,18.8487,18.7159
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,,,
Belarus,0,0,0,0,0,0,0,0,0,0,0,
Germany,75.0709,75.9,72.0387,72.2733,73.458,71.7936,68.5572,72.0645,70.54,63.7613,63.9267,58.7161
Italy,71.2752,107.118,108.069,111.4437,103.0016,104.1032,109.159,106.7471,81.6193,33.6,34.2647,62.2419
